isil,local_uri,external_uri,relation,match_status,linking_method,verification
IT-AG0001,https://biblioteche-fantasma.invalid/resource/library/IT-AG0001,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0001&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso,exact_identifier_lookup,ISIL exact query; no fuzzy matching,"ICCU result-page pattern verified on official Anagrafe; target is an HTML record/search document, not an RDF entity"
IT-AG0005,https://biblioteche-fantasma.invalid/resource/library/IT-AG0005,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0005&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso,exact_identifier_lookup,ISIL exact query; no fuzzy matching,"ICCU result-page pattern verified on official Anagrafe; target is an HTML record/search document, not an RDF entity"
IT-AG0006,https://biblioteche-fantasma.invalid/resource/library/IT-AG0006,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0006&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso,exact_identifier_lookup,ISIL exact query; no fuzzy matching,"ICCU result-page pattern verified on official Anagrafe; target is an HTML record/search document, not an RDF entity"
IT-AG0007,https://biblioteche-fantasma.invalid/resource/library/IT-AG0007,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0007&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso,exact_identifier_lookup,ISIL exact query; no fuzzy matching,"ICCU result-page pattern verified on official Anagrafe; target is an HTML record/search document, not an RDF entity"
IT-AG0008,https://biblioteche-fantasma.invalid/resource/library/IT-AG0008,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0008&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso,exact_identifier_lookup,ISIL exact query; no fuzzy matching,"ICCU result-page pattern verified on official Anagrafe; target is an HTML record/search document, not an RDF entity"
IT-AG0009,https://biblioteche-fantasma.invalid/resource/library/IT-AG0009,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0009&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso,exact_identifier_lookup,ISIL exact query; no fuzzy matching,"ICCU result-page pattern verified on official Anagrafe; target is an HTML record/search document, not an RDF entity"
IT-AG0010,https://biblioteche-fantasma.invalid/resource/library/IT-AG0010,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0010&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso,exact_identifier_lookup,ISIL exact query; no fuzzy matching,"ICCU result-page pattern verified on official Anagrafe; target is an HTML record/search document, not an RDF entity"
IT-AG0011,https://biblioteche-fantasma.invalid/resource/library/IT-AG0011,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0011&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso,exact_identifier_lookup,ISIL exact query; no fuzzy matching,"ICCU result-page pattern verified on official Anagrafe; target is an HTML record/search document, not an RDF entity"
IT-AG0012,https://biblioteche-fantasma.invalid/resource/library/IT-AG0012,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0012&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso,exact_identifier_lookup,ISIL exact query; no fuzzy matching,"ICCU result-page pattern verified on official Anagrafe; target is an HTML record/search document, not an RDF entity"
IT-AG0014,https://biblioteche-fantasma.invalid/resource/library/IT-AG0014,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0014&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso,exact_identifier_lookup,ISIL exact query; no fuzzy matching,"ICCU result-page pattern verified on official Anagrafe; target is an HTML record/search document, not an RDF entity"
