isil,sbn_code,acnp_code,cei_code,cmbs_code,rism_code,census_year,updated_date,name_original,name_normalized,address_original,address_normalized,hamlet,postal_code,municipality_name,istat_code,province_name,province_istat_code,province_abbrev,region,latitude_original,longitude_original,restricted_access,disabled_access,administrative_type,functional_type,owning_entity,source_status,latitude,longitude,coordinate_quality_flag
IT-AG0001,AGR27,,,,,,2013-02-28,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Contrada S. Nicola,Contrada S. Nicola,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3361677,13.5880717,True,,Regione,Specializzata,Regione siciliana. Soprintendenza per i beni culturali e ambientali,,37.3361677,13.5880717,valid_world_range
IT-AG0005,,,,,,2019,2022-06-27,Biblioteca dell'Archivio di Stato di Agrigento,Biblioteca dell'Archivio di Stato di Agrigento,via Mazzini 185,via Mazzini 185,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3221644312329,13.5886026454773,False,Accessibile,Direzione Generale Archivi,Specializzata,Ministero della Cultura. Archivio di Stato di Agrigento,,37.3221644312329,13.5886026454773,valid_world_range
IT-AG0006,PBED8,,CEI659B00001,,,,2025-12-02,Biblioteca del Seminario vescovile,Biblioteca del Seminario vescovile,Piazza don Minzoni 19,Piazza don Minzoni 19,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3137125,13.5749656,False,Non accessibile,Enti ecclesiastici,Specializzata,Arcidiocesi di Agrigento,,37.3137125,13.5749656,valid_world_range
IT-AG0007,AGR01,,,,,2023,2025-01-17,Biblioteca Comunale Franco La Rocca,Biblioteca Comunale Franco La Rocca,Piazzale Aldo Moro 3,Piazzale Aldo Moro 3,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3095818,13.586151,False,Accessibile,Comune,Pubblica,Comune di Agrigento,,37.3095818,13.586151,valid_world_range
IT-AG0008,,,,,,2023,2023-12-22,Biblioteca comunale F. La Rocca - Sezione esterna di Giardina Gallotti,Biblioteca comunale F. La Rocca - Sezione esterna di Giardina Gallotti,Via Belvedere 127,Via Belvedere 127,Giardina Gallotti,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.4050904,13.5291051,False,Non accessibile,Comune,Pubblica,Comune di Agrigento,,37.4050904,13.5291051,valid_world_range
IT-AG0009,,,,,,,,Biblioteca popolare San Vito,Biblioteca popolare San Vito,Via San Vito 6,Via San Vito 6,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3105394,13.5869401,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.3105394,13.5869401,valid_world_range
IT-AG0010,AGR03,,,,,2023,2023-12-22,Biblioteca Comunale Salvatore Cacciatore Partigiano Ciro,Biblioteca Comunale Salvatore Cacciatore Partigiano Ciro,piazza Umberto I snc,piazza Umberto I snc,,92021,Aragona,084003,Agrigento,084,AG,SICILIA,37.4085327,13.6439393,False,Parzialmente accessibile,Comune - Istituzione comunale,Pubblica,Comune d'Aragona,,37.4085327,13.6439393,valid_world_range
IT-AG0011,,,,,,,2023-12-22,Biblioteca comunale,Biblioteca comunale,Piazza G. Marconi 43,Piazza G. Marconi 43,,92010,Bivona,084004,Agrigento,084,AG,SICILIA,37.6184977,13.4405434,False,,Comune,Pubblica,Comune di Bivona,,37.6184977,13.4405434,valid_world_range
IT-AG0012,,,,,,2023,2023-12-22,"Biblioteca comunale ""Guglielmo Raimondo Moncada""","Biblioteca comunale ""Guglielmo Raimondo Moncada""","Via Corsentino, 2","Via Corsentino, 2",,92010,Caltabellotta,084007,Agrigento,084,AG,SICILIA,37.5767686,13.215112,False,Non accessibile,Comune,Pubblica,Comune di Caltabellotta,,37.5767686,13.215112,valid_world_range
IT-AG0014,AGR04,,,,,2022,2023-07-05,Biblioteca Comunale Mons. Domenico De Gregorio,Biblioteca Comunale Mons. Domenico De Gregorio,Via dei Giardini snc,Via dei Giardini snc,,92022,Cammarata,084009,Agrigento,084,AG,SICILIA,37.6308269,13.6371923,False,Parzialmente accessibile,Comune,Pubblica,Comune di Cammarata,,37.6308269,13.6371923,valid_world_range
IT-AG0016,,,,,,2022,2024-01-08,Biblioteca comunale 'Prof. Michele Sciabbarrasi',Biblioteca comunale 'Prof. Michele Sciabbarrasi',"via Michelangelo, 9","via Michelangelo, 9",,92020,Castrofilippo,084013,Agrigento,084,AG,SICILIA,37.3502091,13.7501414,False,Accessibile,Comune,Pubblica,Comune di Castrofilippo,,37.3502091,13.7501414,valid_world_range
IT-AG0017,,,,,,2023,2023-12-22,Biblioteca comunale,Biblioteca comunale,Via Collegio 68,Via Collegio 68,,92011,Cattolica Eraclea,084014,Agrigento,084,AG,SICILIA,37.438755,13.3952266,False,Accessibile,Comune,Pubblica,Comune di Cattolica Eraclea,,37.438755,13.3952266,valid_world_range
IT-AG0018,AGR06,,,,,2018,2020-11-13,"Biblioteca comunale ""Paolo Borsellino""","Biblioteca comunale ""Paolo Borsellino""","Corso Commentatore Cinquemani Arcuri, 223","Corso Commentatore Cinquemani Arcuri, 223",,92012,Cianciana,084015,Agrigento,084,AG,SICILIA,37.514489,13.4331103,False,,Comune,Pubblica,Comune di Cianciana,,37.514489,13.4331103,valid_world_range
IT-AG0019,AGR07,,,,,2023,2023-12-22,Biblioteca comunale,Biblioteca comunale,Via Gravina 11,Via Gravina 11,,92020,Comitini,084016,Agrigento,084,AG,SICILIA,37.408845,13.644007,False,Parzialmente accessibile,Comune,Pubblica,Comune di Comitini,,37.408845,13.644007,valid_world_range
IT-AG0020,,,,,,,,Biblioteca della Parrocchia della Beata Maria Vergine dell'Itria,Biblioteca della Parrocchia della Beata Maria Vergine dell'Itria,Via Beneficenza Mendola,Via Beneficenza Mendola,,92026,Favara,084017,Agrigento,084,AG,SICILIA,37.3178646,13.6639854,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.3178646,13.6639854,valid_world_range
IT-AG0021,,,,,,,,Biblioteca del Circolo di cultura il Gattopardo,Biblioteca del Circolo di cultura il Gattopardo,Via Amendola 4,Via Amendola 4,,92026,Favara,084017,Agrigento,084,AG,SICILIA,37.3211216,13.6624159,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.3211216,13.6624159,valid_world_range
