isil,previous_name_original,previous_name_normalized
IT-AG0001,Biblioteca della Soprintendenza per i beni culturali e ambientali,Biblioteca della Soprintendenza per i beni culturali e ambientali
IT-AG0008,Biblioteca comunale Santo Spirito. Sezione esterna di Giardina Gallotti,Biblioteca comunale Santo Spirito. Sezione esterna di Giardina Gallotti
IT-AG0008,Biblioteca di Giardina Gallotta,Biblioteca di Giardina Gallotta
IT-AG0010,Biblioteca Comunale,Biblioteca Comunale
IT-AG0012,Biblioteca comunale,Biblioteca comunale
IT-AG0014,Biblioteca Comunale,Biblioteca Comunale
IT-AG0018,Biblioteca comunale Alessio Di Giovanni,Biblioteca comunale Alessio Di Giovanni
IT-AG0025,"Biblioteca comunale ""Prof. Onofrio Lo Dico""","Biblioteca comunale ""Prof. Onofrio Lo Dico"""
IT-AG0033,Biblioteca comunale,Biblioteca comunale
IT-AG0038,Biblioteca Comunale,Biblioteca Comunale
IT-AG0039,Biblioteca Comunale,Biblioteca Comunale
IT-AG0042,Biblioteca Comunale Tommaso Fazello,Biblioteca Comunale Tommaso Fazello
IT-AG0044,Biblioteca di Montaperto,Biblioteca di Montaperto
IT-AG0045,Biblioteca comunale Santo Spirito. Sezione esterna di Villaseta,Biblioteca comunale Santo Spirito. Sezione esterna di Villaseta
IT-AG0045,Biblioteca di Villaseta,Biblioteca di Villaseta
IT-AG0058,Biblioteca comunale,Biblioteca comunale
IT-AG0060,Biblioteca Comunale,Biblioteca Comunale
IT-AG0062,Biblioteca comunale,Biblioteca comunale
IT-AG0072,Biblioteca comunale,Biblioteca comunale
IT-AG0078,Biblioteca della Provincia regionale di Agrigento,Biblioteca della Provincia regionale di Agrigento
IT-AG0079,Biblioteca comunale Santo Spirito. Sezione esterna di Fontanelle,Biblioteca comunale Santo Spirito. Sezione esterna di Fontanelle
IT-AG0079,Biblioteca di Fontanelle,Biblioteca di Fontanelle
IT-AG0080,Biblioteca del Villaggio Mosè,Biblioteca del Villaggio Mosè
IT-AG0134,Biblioteca del Polo didattico di Agrigento. Università degli studi di Palermo,Biblioteca del Polo didattico di Agrigento. Università degli studi di Palermo
IT-AG0136,"Biblioteca del conservatorio ""Arturo Toscanini""","Biblioteca del conservatorio ""Arturo Toscanini"""
IT-AL0001,Biblioteca civica,Biblioteca civica
IT-AL0004,Biblioteca storica del Seminario vescovile,Biblioteca storica del Seminario vescovile
IT-AL0007,Biblioteca della Camera di commercio di Alessandria,Biblioteca della Camera di commercio di Alessandria
IT-AL0007,"Biblioteca della Camera di commercio, industria, artigianato e agricoltura - CCIAA","Biblioteca della Camera di commercio, industria, artigianato e agricoltura - CCIAA"
IT-AL0007,Biblioteca della CCIAA,Biblioteca della CCIAA
IT-AL0017,Biblioteca civica,Biblioteca civica
IT-AL0020,Biblioteca civica Ferrero,Biblioteca civica Ferrero
IT-AL0021,Biblioteca civica Fedele Barco,Biblioteca civica Fedele Barco
IT-AL0024,Biblioteca del Seminario vescovile,Biblioteca del Seminario vescovile
IT-AL0027,Biblioteca civica,Biblioteca civica
IT-AL0031,Biblioteca civica,Biblioteca civica
IT-AL0033,Biblioteca civica Pier Angelo Soldini,Biblioteca civica Pier Angelo Soldini
IT-AL0060,Biblioteca civica,Biblioteca civica
IT-AL0062,Biblioteca civica,Biblioteca civica
IT-AL0063,Biblioteca,Biblioteca
IT-AL0063,Biblioteca civica,Biblioteca civica
IT-AL0067,Biblioteca civica,Biblioteca civica
IT-AL0067,Biblioteca civica Alessandra Fracchia,Biblioteca civica Alessandra Fracchia
IT-AL0071,Biblioteca civica,Biblioteca civica
IT-AL0071,"Biblioteca comunale ""Sandro Castelli"" di Pontecurone","Biblioteca comunale ""Sandro Castelli"" di Pontecurone"
IT-AL0077,Biblioteca civica,Biblioteca civica
IT-AL0084,Biblioteca civica,Biblioteca civica
IT-AL0086,Biblioteca civica,Biblioteca civica
IT-AL0089,Biblioteca civica,Biblioteca civica
IT-AL0089,"Biblioteca comunale ""Roberto Allegri""","Biblioteca comunale ""Roberto Allegri"""
IT-AL0091,Biblioteca civica,Biblioteca civica
IT-AL0100,"Biblioteca civica ""Tommaso de Ocheda""","Biblioteca civica ""Tommaso de Ocheda"""
IT-AL0101,Biblioteca del Seminario diocesano,Biblioteca del Seminario diocesano
IT-AL0102,Biblioteca civica,Biblioteca civica
IT-AL0104,Biblioteca civica,Biblioteca civica
IT-AL0112,Biblioteca civica,Biblioteca civica
IT-AL0114,Biblioteca civica Giovanni Canna,Biblioteca civica Giovanni Canna
IT-AL0123,Biblioteca civica coniugi Maria ed Eraldo Ighina,Biblioteca civica coniugi Maria ed Eraldo Ighina
IT-AL0124,Biblioteca civica,Biblioteca civica
IT-AL0124,BIBLIOTECA CIVICA DON CESRE MORETTI,BIBLIOTECA CIVICA DON CESRE MORETTI
IT-AL0127,Biblioteca civica,Biblioteca civica
IT-AL0128,Biblioteca civica,Biblioteca civica
IT-AL0130,Biblioteca del Seminario vescovile monsignor C.G. Capra,Biblioteca del Seminario vescovile monsignor C.G. Capra
IT-AL0131,Biblioteca del CAI,Biblioteca del CAI
IT-AL0134,Biblioteca dell'Istituto musicale Antonio Vivaldi,Biblioteca dell'Istituto musicale Antonio Vivaldi
IT-AL0135,Biblioteca dell'Istituto per la storia della Resistenza e della società  contemporanea in provincia di Alessandria - ISRAL,Biblioteca dell'Istituto per la storia della Resistenza e della società contemporanea in provincia di Alessandria - ISRAL
IT-AL0135,Biblioteca dell'Istituto per la storia della Resistenza e della società contemporanea in provincia di Alessandria - ISRAL 'Carlo Gilardenghi',Biblioteca dell'Istituto per la storia della Resistenza e della società contemporanea in provincia di Alessandria - ISRAL 'Carlo Gilardenghi'
IT-AL0142,Biblioteca della SAF,Biblioteca della SAF
IT-AL0147,Biblioteca dell'Archivio capitolare,Biblioteca dell'Archivio capitolare
IT-AL0151,"Biblioteca Civica ""Federico Ragni""","Biblioteca Civica ""Federico Ragni"""
IT-AL0153,Biblioteca del Dipartimento di Scienze e Innovazione tecnologica dell'Università degli Studi del Piemonte orientale A. Avogadro,Biblioteca del Dipartimento di Scienze e Innovazione tecnologica dell'Università degli Studi del Piemonte orientale A. Avogadro
IT-AL0153,"Università degli studi del Piemonte orientale Amedeo Avogadro. Sede di Alessandria. Facoltà di scienze matematiche, fisiche e naturali","Università degli studi del Piemonte orientale Amedeo Avogadro. Sede di Alessandria. Facoltà di scienze matematiche, fisiche e naturali"
IT-AL0156,Biblioteca del Dipartimento di politiche pubbliche e scelte collettive e del Dipartimento di ricerca sociale,Biblioteca del Dipartimento di politiche pubbliche e scelte collettive e del Dipartimento di ricerca sociale
IT-AL0159,Biblioteca civica,Biblioteca civica
IT-AL0159,Biblioteca civica 'Donatella Cabiati',Biblioteca civica 'Donatella Cabiati'
IT-AL0164,Biblioteca medico scientifica,Biblioteca medico scientifica
IT-AL0165,Biblioteca civica,Biblioteca civica
IT-AL0169,Biblioteca civica G. Borghello,Biblioteca civica G. Borghello
IT-AL0175,Biblioteca civica,Biblioteca civica
IT-AL0189,Biblioteca civica,Biblioteca civica
IT-AL0193,Biblioteca civica Eugenio Arecco,Biblioteca civica Eugenio Arecco
IT-AL0201,Biblioteca dell'Associazione Pellizza da Volpedo-Musei di Pellizza,Biblioteca dell'Associazione Pellizza da Volpedo-Musei di Pellizza
IT-AL0201,Biblioteca dello Studio-Museo Pellizza,Biblioteca dello Studio-Museo Pellizza
IT-AL0206,Biblioteca del Liceo scientifico E. Amaldi,Biblioteca del Liceo scientifico E. Amaldi
IT-AL0208,Bibliomediateca della Scuola media statale Hugues-Alighieri-Trevigi,Bibliomediateca della Scuola media statale Hugues-Alighieri-Trevigi
IT-AL0216,Biblioteca della Scuola media statale Gerolamo Boccardo,Biblioteca della Scuola media statale Gerolamo Boccardo
IT-AL0225,Biblioteca della Fondazione Cassa di risparmio di Tortona,Biblioteca della Fondazione Cassa di risparmio di Tortona
