isil,contact_index,contact_type,contact_value,source
IT-AG0001,1,telefono,+39 0922595830,contatti.xml
IT-AG0005,1,e-mail,as-ag@cultura.gov.it,contatti.xml
IT-AG0005,2,fax,+39 0922613242,contatti.xml
IT-AG0005,3,telefono,+39 0922602494,contatti.xml
IT-AG0005,4,telefono,+39 0922602400,contatti.xml
IT-AG0005,5,url,http://www.archiviodistatoagrigento.beniculturali.it/index.php?it/1/home,contatti.xml
IT-AG0006,1,e-mail,bibliotecadiocesana@diocesiag.it,contatti.xml
IT-AG0006,2,fax,+39 0922.490024,contatti.xml
IT-AG0006,3,telefono,+39 3478809439,contatti.xml
IT-AG0006,4,url,https://www.beweb.chiesacattolica.it/istituticulturali/istituto/1204/Biblioteca+del+Seminario+vescovile,contatti.xml
IT-AG0007,1,e-mail,biblioteca.larocca@comune.agrigento.it,contatti.xml
IT-AG0007,2,fax,+39 0922401246,contatti.xml
IT-AG0007,3,pec,servizio.protocollo@pec.comune.agrigento.it,contatti.xml
IT-AG0007,4,telefono,+39 0922595166,contatti.xml
IT-AG0007,5,url,http://www.opacagrigento.it/biblioteche/bi_1.html,contatti.xml
IT-AG0008,1,pec,servizio.protocollo@pec.comune.agrigento.it,contatti.xml
IT-AG0008,2,telefono,+39 0922410117,contatti.xml
IT-AG0010,1,e-mail,biblioteca.comunale@comune.aragona.ag.it,contatti.xml
IT-AG0010,2,fax,+39 0922690908,contatti.xml
IT-AG0010,3,pec,protocollo@comune.aragona.ag.it,contatti.xml
IT-AG0010,4,telefono,+39 092237170,contatti.xml
IT-AG0010,5,url,www.comunearagona.ag.it,contatti.xml
IT-AG0011,1,e-mail,bivona.biblioteca@tiscali.it,contatti.xml
IT-AG0011,2,fax,+39 0922983123,contatti.xml
IT-AG0011,3,pec,bivona.prot@pec.it,contatti.xml
IT-AG0011,4,telefono,+39 0922986504,contatti.xml
IT-AG0011,5,url,hhttps://www.comune.bivona.ag.it/bivona/zf/index.php/servizi-aggiuntivi/index/index/idtesto/35,contatti.xml
IT-AG0012,1,e-mail,comunecaltabellotta@tiscali.it,contatti.xml
IT-AG0012,2,pec,comunecaltabellotta@pec.it,contatti.xml
IT-AG0012,3,telefono,+39 0925951013,contatti.xml
IT-AG0012,4,url,https://new.comune.caltabellotta.ag.it/,contatti.xml
IT-AG0014,1,e-mail,biblioteca1@comune.cammarata.ag.it,contatti.xml
IT-AG0014,2,fax,+39 0922901704,contatti.xml
IT-AG0014,3,pec,protocollo@pec.comune.cammarata.ag.it,contatti.xml
IT-AG0014,4,telefono,+39 0922905669,contatti.xml
IT-AG0014,5,telefono,+39 0922907250,contatti.xml
IT-AG0014,6,url,www.opacagrigento.it,contatti.xml
IT-AG0016,1,e-mail,biblioteca@comune.castrofilippo.ag.it,contatti.xml
IT-AG0016,2,e-mail,g.piraneo@comune.castrofilippo.ag.it,contatti.xml
IT-AG0016,3,fax,+39 0922912704,contatti.xml
IT-AG0016,4,pec,protocollo.comune.castrofilippo@pec.it,contatti.xml
IT-AG0016,5,telefono,+39 0922825110,contatti.xml
IT-AG0016,6,telefono,+39 09221807355,contatti.xml
IT-AG0016,7,url,www.comune.castrofilippo.ag.it,contatti.xml
IT-AG0017,1,e-mail,servizisociali@comune.cattolicaeraclea.ag.it,contatti.xml
