isil,material_index,library_name_source,category,material,quantity_original,quantity
IT-AG0001,1,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Legati,carteggi,,
IT-AG0001,2,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Manoscritti,manoscritti,,
IT-AG0001,3,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Pubblicazioni in serie,periodici,,
IT-AG0001,4,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Pubblicazioni in serie,periodici correnti,,
IT-AG0001,5,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Pubblicazioni in serie,periodici spenti,,
IT-AG0001,6,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Volumi ed opuscoli,edizioni del '500,1,1.0
IT-AG0001,7,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Volumi ed opuscoli,edizioni del '600,,
IT-AG0001,8,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Volumi ed opuscoli,edizioni del '700,,
IT-AG0001,9,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Volumi ed opuscoli,edizioni del '800,,
IT-AG0001,10,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Volumi ed opuscoli,volumi ed opuscoli,15000,15000.0
IT-AG0005,1,Biblioteca dell'Archivio di Stato di Agrigento,Documenti audiovisivi,documenti audiovisivi,128,128.0
IT-AG0005,2,Biblioteca dell'Archivio di Stato di Agrigento,Documenti musicali a stampa,documenti musicali a stampa,18,18.0
IT-AG0005,3,Biblioteca dell'Archivio di Stato di Agrigento,Manoscritti,manoscritti,2,2.0
IT-AG0005,4,Biblioteca dell'Archivio di Stato di Agrigento,Pubblicazioni in serie,periodici,125,125.0
IT-AG0005,5,Biblioteca dell'Archivio di Stato di Agrigento,Totale posseduto,totale posseduto,7025,7025.0
