source_isil,target_isil,source_status,parse_success,target_exists_in_snapshot,self_loop,in_cycle
IT-AG0049,IT-AG0078,Biblioteca confluita in IT-AG0078,True,True,False,False
IT-AG0080,IT-AG0007,Biblioteca confluita in IT-AG0007,True,True,False,False
IT-AL0147,IT-AL0024,Biblioteca confluita in IT-AL0024,True,True,False,False
IT-AL0155,IT-AL0238,Biblioteca confluita in IT-AL0238,True,True,False,False
IT-AL0156,IT-AL0238,Biblioteca confluita in IT-AL0238,True,True,False,False
IT-AN0007,IT-FM0049,Biblioteca confluita in IT-FM0049,True,True,False,False
IT-AN0010,IT-AN0012,Biblioteca confluita in IT-AN0012,True,True,False,False
IT-AN0034,IT-AN0035,Biblioteca confluita in IT-AN0035,True,True,False,False
IT-AN0048,IT-FM0049,Biblioteca confluita in IT-FM0049,True,True,False,False
IT-AN0107,IT-AN0126,Biblioteca confluita in IT-AN0126,True,True,False,False
IT-AN0132,IT-AN0190,Biblioteca confluita in IT-AN0190,True,True,False,False
IT-AP0069,IT-AN0039,Biblioteca confluita in IT-AN0039,True,True,False,False
IT-AP0114,IT-MC0263,Biblioteca confluita in IT-MC0263,True,True,False,False
IT-AP0115,IT-AP0083,Biblioteca confluita in IT-AP0083,True,True,False,False
IT-AV0061,IT-AV0163,Biblioteca confluita in IT-AV0163,True,True,False,False
IT-AV0071,,Biblioteca confluita,False,False,False,False
IT-BA0133,IT-BA0354,Biblioteca confluita in IT-BA0354,True,True,False,False
IT-BA0134,IT-BA0033,Biblioteca confluita in IT-BA0033,True,True,False,False
IT-BA0170,IT-BA0282,Biblioteca confluita in IT-BA0282,True,True,False,False
IT-BA0171,IT-BA0282,Biblioteca confluita in IT-BA0282,True,True,False,False
IT-BA0172,IT-BA0282,Biblioteca confluita in IT-BA0282,True,True,False,False
IT-BA0183,IT-BA0169,Biblioteca confluita in IT-BA0169,True,True,False,False
IT-BA0239,IT-BA0354,Biblioteca confluita in IT-BA0354,True,True,False,False
IT-BA0242,IT-BA0354,Biblioteca confluita in IT-BA0354,True,True,False,False
IT-BA0281,IT-BA0282,Biblioteca confluita in IT-BA0282,True,True,False,False
IT-BA0294,IT-BA0282,Biblioteca confluita in IT-BA0282,True,True,False,False
IT-BA0297,IT-BA0169,Biblioteca confluita in IT-BA0169,True,True,False,False
IT-BA0337,IT-BA0136,Biblioteca confluita in IT-BA0136,True,True,False,False
IT-BA0343,IT-BA0136,Biblioteca confluita in IT-BA0136,True,True,False,False
IT-BG0025,IT-BG0290,Biblioteca confluita in IT-BG0290,True,True,False,False
IT-BG0385,IT-BG0044,Biblioteca confluita in IT-BG0044,True,True,False,False
IT-BN0084,IT-BN0095,Biblioteca confluita in IT-BN0095,True,True,False,False
IT-BN0085,IT-BN0095,Biblioteca confluita in IT-BN0095,True,True,False,False
IT-BN0086,IT-BN0095,Biblioteca confluita in IT-BN0095,True,True,False,False
IT-BN0087,IT-BN0006,Biblioteca confluita in IT-BN0006,True,True,False,False
IT-BN0101,IT-BN0095,Biblioteca confluita in IT-BN0095,True,True,False,False
IT-BN0102,IT-BN0095,Biblioteca confluita in IT-BN0095,True,True,False,False
IT-BN0112,IT-BN0034,Biblioteca confluita in IT-BN0034,True,True,False,False
IT-BO0029,IT-BO0012,Biblioteca confluita in IT-BO0012,True,True,False,False
IT-BO0044,IT-BO0429,Biblioteca confluita in IT-BO0429,True,True,False,False
IT-BO0051,IT-BO0508,Biblioteca confluita in IT-BO0508,True,True,False,False
IT-BO0053,IT-BO0421,Biblioteca confluita in IT-BO0421,True,True,False,False
IT-BO0108,IT-BO0540,Biblioteca confluita in IT-BO0540,True,True,False,False
IT-BO0110,IT-BO0540,Biblioteca confluita in IT-BO0540,True,True,False,False
IT-BO0112,IT-BO0540,Biblioteca confluita in IT-BO0540,True,True,False,False
IT-BO0113,IT-BO0540,Biblioteca confluita in IT-BO0540,True,True,False,False
IT-BO0115,IT-BO0540,Biblioteca confluita in IT-BO0540,True,True,False,False
IT-BO0121,IT-BO0540,Biblioteca confluita in IT-BO0540,True,True,False,False
IT-BO0126,IT-BO0508,Biblioteca confluita in IT-BO0508,True,True,False,False
IT-BO0129,IT-BO0508,Biblioteca confluita in IT-BO0508,True,True,False,False
IT-BO0131,IT-BO0508,Biblioteca confluita in IT-BO0508,True,True,False,False
IT-BO0138,IT-BO0012,Biblioteca confluita in IT-BO0012,True,True,False,False
IT-BO0141,IT-BO0508,Biblioteca confluita in IT-BO0508,True,True,False,False
IT-BO0146,IT-BO0012,Biblioteca confluita in IT-BO0012,True,True,False,False
IT-BO0149,IT-BO0540,Biblioteca confluita in IT-BO0540,True,True,False,False
IT-BO0151,IT-BO0212,Biblioteca confluita in IT-BO0212,True,True,False,False
IT-BO0160,IT-BO0012,Biblioteca confluita in IT-BO0012,True,True,False,False
IT-BO0169,IT-BO0422,Biblioteca confluita in IT-BO0422,True,True,False,False
IT-BO0172,IT-BO0012,Biblioteca confluita in IT-BO0012,True,True,False,False
