istat_code,municipality_name,population_2025,population_0_14_2025,population_15_64_2025,population_65_plus_2025,population_2019,population_0_14_2019,population_15_64_2019,population_65_plus_2019,population_change_absolute,population_change_percent,share_65_plus_2019,share_65_plus_2025,population_comparability
028001,Abano Terme,20464,2204,12330,5930,19841.0,2294.0,12406.0,5141.0,623.0,3.1399627034927677,25.910992389496496,28.977716966379987,comparable_on_2025_geography
098001,Abbadia Cerreto,275,33,170,72,278.0,31.0,179.0,68.0,-3.0,-1.079136690647482,24.46043165467626,26.181818181818183,comparable_on_2025_geography
097001,Abbadia Lariana,3164,337,1981,846,3200.0,379.0,2077.0,744.0,-36.0,-1.125,23.25,26.738305941845763,comparable_on_2025_geography
052001,Abbadia San Salvatore,6105,579,3626,1900,6277.0,631.0,3682.0,1964.0,-172.0,-2.740162498008603,31.288832244702885,31.122031122031125,comparable_on_2025_geography
095001,Abbasanta,2574,284,1555,735,2626.0,310.0,1632.0,684.0,-52.0,-1.9801980198019802,26.047220106626046,28.554778554778554,comparable_on_2025_geography
068001,Abbateggio,360,26,237,97,363.0,34.0,236.0,93.0,-3.0,-0.8264462809917356,25.6198347107438,26.944444444444443,comparable_on_2025_geography
015002,Abbiategrasso,32658,4118,20818,7722,32473.0,4622.0,20593.0,7258.0,185.0,0.5697040618359868,22.35087611246266,23.645048686386183,comparable_on_2025_geography
047023,Abetone Cutigliano,1829,133,1044,652,2019.0,172.0,1173.0,674.0,-190.0,-9.41059930658742,33.382862803368,35.647895024603606,comparable_on_2025_geography
076001,Abriola,1225,96,760,369,1391.0,149.0,870.0,372.0,-166.0,-11.933860531991373,26.74335010783609,30.122448979591837,comparable_on_2025_geography
088001,Acate,10405,1596,7085,1724,10817.0,1681.0,7583.0,1553.0,-412.0,-3.80881945086438,14.35703059998151,16.56895723209995,comparable_on_2025_geography
071001,Accadia,2216,258,1345,613,2267.0,254.0,1411.0,602.0,-51.0,-2.249669166299074,26.55491839435377,27.662454873646208,comparable_on_2025_geography
004001,Acceglio,164,16,95,53,160.0,17.0,101.0,42.0,4.0,2.5,26.25,32.31707317073171,comparable_on_2025_geography
077001,Accettura,1575,162,971,442,1761.0,188.0,1091.0,482.0,-186.0,-10.562180579216355,27.370812038614424,28.063492063492063,comparable_on_2025_geography
066001,Acciano,247,16,142,89,316.0,23.0,182.0,111.0,-69.0,-21.835443037974684,35.12658227848101,36.032388663967616,comparable_on_2025_geography
057001,Accumoli,503,29,316,158,593.0,50.0,355.0,188.0,-90.0,-15.177065767284992,31.703204047217536,31.411530815109344,comparable_on_2025_geography
076002,Acerenza,2045,174,1299,572,2308.0,212.0,1498.0,598.0,-263.0,-11.395147313691508,25.909878682842287,27.970660146699267,comparable_on_2025_geography
065001,Acerno,2469,244,1670,555,2667.0,338.0,1780.0,549.0,-198.0,-7.424071991001124,20.58492688413948,22.47873633049818,comparable_on_2025_geography
063001,Acerra,58676,9273,40446,8957,59133.0,11096.0,40322.0,7715.0,-457.0,-0.7728341196962779,13.046860467082677,15.265185084191152,comparable_on_2025_geography
087001,Aci Bonaccorsi,3574,487,2335,752,3523.0,555.0,2311.0,657.0,51.0,1.4476298609139937,18.648878796480272,21.040850587576944,comparable_on_2025_geography
087002,Aci Castello,17713,1953,11018,4742,17825.0,2288.0,11557.0,3980.0,-112.0,-0.6283309957924264,22.32819074333801,26.77129791678428,comparable_on_2025_geography
087003,Aci Catena,27507,3906,18209,5392,27868.0,4374.0,19378.0,4116.0,-361.0,-1.2953925649490454,14.769628247452275,19.60228305522231,comparable_on_2025_geography
087004,Acireale,50611,6266,32305,12040,51361.0,6721.0,33923.0,10717.0,-750.0,-1.460251942135083,20.866026751815582,23.789294817332202,comparable_on_2025_geography
087005,Aci Sant'Antonio,18076,2643,11985,3448,17810.0,2771.0,12419.0,2620.0,266.0,1.493542953396968,14.710836608646826,19.075016596592167,comparable_on_2025_geography
060001,Acquafondata,249,16,152,81,255.0,20.0,166.0,69.0,-6.0,-2.3529411764705883,27.058823529411764,32.53012048192771,comparable_on_2025_geography
078001,Acquaformosa,927,84,550,293,1093.0,112.0,686.0,295.0,-166.0,-15.187557182067705,26.98993595608417,31.607335490830636,comparable_on_2025_geography
017001,Acquafredda,1545,189,1018,338,1521.0,223.0,985.0,313.0,24.0,1.5779092702169626,20.578566732412888,21.877022653721685,comparable_on_2025_geography
041001,Acqualagna,4162,503,2639,1020,4396.0,604.0,2793.0,999.0,-234.0,-5.3230209281164695,22.72520473157416,24.5074483421432,comparable_on_2025_geography
019001,Acquanegra Cremonese,1186,131,741,314,1171.0,133.0,709.0,329.0,15.0,1.2809564474807857,28.095644748078563,26.475548060708263,comparable_on_2025_geography
020001,Acquanegra sul Chiese,2719,299,1671,749,2858.0,338.0,1744.0,776.0,-139.0,-4.8635409377186845,27.1518544436669,27.54689223979404,comparable_on_2025_geography
056001,Acquapendente,5225,522,3139,1564,5397.0,552.0,3281.0,1564.0,-172.0,-3.1869557161385953,28.979062442097465,29.933014354066984,comparable_on_2025_geography
078002,Acquappesa,1750,191,1046,513,1792.0,198.0,1130.0,464.0,-42.0,-2.34375,25.892857142857146,29.314285714285717,comparable_on_2025_geography
102001,Acquaro,1809,177,1024,608,2119.0,232.0,1290.0,597.0,-310.0,-14.6295422369042,28.17366682397357,33.609729132117195,comparable_on_2025_geography
044001,Acquasanta Terme,2423,214,1362,847,2704.0,257.0,1599.0,848.0,-281.0,-10.392011834319527,31.360946745562128,34.95666529096162,comparable_on_2025_geography
055001,Acquasparta,4351,463,2630,1258,4623.0,624.0,2730.0,1269.0,-272.0,-5.883625351503353,27.44970798182998,28.912893587680994,comparable_on_2025_geography
070001,Acquaviva Collecroce,549,27,325,197,626.0,51.0,376.0,199.0,-77.0,-12.300319488817891,31.789137380191697,35.88342440801457,comparable_on_2025_geography
072001,Acquaviva delle Fonti,19746,2336,12224,5186,20259.0,2499.0,13093.0,4667.0,-513.0,-2.5322079075966237,23.036675057998917,26.263547047503295,comparable_on_2025_geography
