isil,collection_index,library_name_source,codice,denominazione,fondo_depositato,catalogazione_inventario,tipologia_fondo,dewey,descrizione,url_o_citazione_bibliografica,consistenza,datazione,modalita_acquisizione,tipologia_documentaria,provenienza,soggetto_produttore,bibliografia,fondi_collegati
IT-AG0001,1,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,001,Biblioteca dell'ex-Museo civico,No,Non presente,Fondo misto,,,,,,,,,,,
IT-AG0001,2,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,002,Donazione dell'avvocato Noto,No,Non presente,Fondo misto,,,,,,,,,,,
IT-AG0006,1,Biblioteca del Seminario vescovile,001,FONDO DE GREGORIO,No,NON SPECIFICATO,Fondo librario / Collezione,Teologia sociale cristiana e rapporti e attegiamenti nei confronti di,,,,,,,,,,
IT-AG0007,1,Biblioteca Comunale Franco La Rocca,001,Fondo Peritore,No,NON SPECIFICATO,Fondo librario / Collezione,Letteratura,critica letteraria e testi,,,,,,,,,
IT-AG0007,2,Biblioteca Comunale Franco La Rocca,002,Fondo Vadalà,No,NON SPECIFICATO,Fondo librario / Collezione,Scienze mediche. Medicina,medicina,,,,,,,,,
IT-AG0007,3,Biblioteca Comunale Franco La Rocca,003,Fondo Pirandello,No,NON SPECIFICATO,Fondo librario / Collezione,"Letterature in lingua italiana, romena, ladina",opere di e su Pirandello in edizioni nazionali e internazionali,,,,,,,,,
IT-AG0014,1,Biblioteca Comunale Mons. Domenico De Gregorio,001,Fondo Traina,No,Non presente,Fondo librario / Collezione,,"manoscritti, incunaboli e cinquecentine",,,,,,,,,
IT-AG0014,2,Biblioteca Comunale Mons. Domenico De Gregorio,002,Fondo Biancorosso,No,Non presente,Fondo librario / Collezione,Religione,"religione, libri scolastici",,,,,,,,,
IT-AG0042,1,"Biblioteca Comunale ""Aurelio Cassar""",001,Fondo Aurelio Cassar,No,NON SPECIFICATO,Fondo librario / Collezione,,,,,,,,,,,
IT-AG0042,2,"Biblioteca Comunale ""Aurelio Cassar""",002,Fondo Giuseppe De Stefani,No,NON SPECIFICATO,Fondo librario / Collezione,,archivio di casa Tagliavia,,,,,,,,,
IT-AG0042,3,"Biblioteca Comunale ""Aurelio Cassar""",003,Fondo Francesco Guarino,No,NON SPECIFICATO,Fondo librario / Collezione,,"ingegneria, architettura",,,,,,,,,
IT-AG0042,4,"Biblioteca Comunale ""Aurelio Cassar""",004,Fondo Salvatore Scaglione,No,NON SPECIFICATO,Fondo librario / Collezione,,medicina,,,,,,,,,
IT-AG0042,5,"Biblioteca Comunale ""Aurelio Cassar""",005,Fondo Paolo Ciaccio,Si,Non presente,Fondo librario / Collezione,,"religione, storia",,,,,,,,,
IT-AG0042,6,"Biblioteca Comunale ""Aurelio Cassar""",006,Fondo Mule' Abbruzzo,Si,Non presente,Fondo librario / Collezione,Diritto,diritto,,,,,,,,,
IT-AG0042,7,"Biblioteca Comunale ""Aurelio Cassar""",007,Fondo eredi Saverio Friscia,No,NON SPECIFICATO,Fondo librario / Collezione,,atti parlamentari e documenti vari,,,,,,,,,
IT-AG0042,8,"Biblioteca Comunale ""Aurelio Cassar""",008,Fondo Paganelli,Si,Non presente,Fondo librario / Collezione,Diritto,diritto,,,,,,,,,
IT-AG0042,9,"Biblioteca Comunale ""Aurelio Cassar""",009,Fondo Francesco Scaglione,No,NON SPECIFICATO,Fondo librario / Collezione,,"storia, bibliografia",,,,,,,,,
IT-AG0042,10,"Biblioteca Comunale ""Aurelio Cassar""",010,Fondo Alberto Scaturro,No,NON SPECIFICATO,Fondo librario / Collezione,,medicina,,,,,,,,,
