current_istat_code,current_name,predecessor_istat_code,predecessor_name,transformation_type,effective_date,source,aggregation_rule,notes
001001,Agliè,001001,Agliè,unchanged,,POSAS 2019/2025 direct comparison,sum,
001002,Airasca,001002,Airasca,unchanged,,POSAS 2019/2025 direct comparison,sum,
001003,Ala di Stura,001003,Ala di Stura,unchanged,,POSAS 2019/2025 direct comparison,sum,
001004,Albiano d'Ivrea,001004,Albiano d'Ivrea,unchanged,,POSAS 2019/2025 direct comparison,sum,
001006,Almese,001006,Almese,unchanged,,POSAS 2019/2025 direct comparison,sum,
001007,Alpette,001007,Alpette,unchanged,,POSAS 2019/2025 direct comparison,sum,
001008,Alpignano,001008,Alpignano,unchanged,,POSAS 2019/2025 direct comparison,sum,
001009,Andezeno,001009,Andezeno,unchanged,,POSAS 2019/2025 direct comparison,sum,
001010,Andrate,001010,Andrate,unchanged,,POSAS 2019/2025 direct comparison,sum,
001011,Angrogna,001011,Angrogna,unchanged,,POSAS 2019/2025 direct comparison,sum,
001012,Arignano,001012,Arignano,unchanged,,POSAS 2019/2025 direct comparison,sum,
001013,Avigliana,001013,Avigliana,unchanged,,POSAS 2019/2025 direct comparison,sum,
001014,Azeglio,001014,Azeglio,unchanged,,POSAS 2019/2025 direct comparison,sum,
001015,Bairo,001015,Bairo,unchanged,,POSAS 2019/2025 direct comparison,sum,
001016,Balangero,001016,Balangero,unchanged,,POSAS 2019/2025 direct comparison,sum,
001017,Baldissero Canavese,001017,Baldissero Canavese,unchanged,,POSAS 2019/2025 direct comparison,sum,
001018,Baldissero Torinese,001018,Baldissero Torinese,unchanged,,POSAS 2019/2025 direct comparison,sum,
001019,Balme,001019,Balme,unchanged,,POSAS 2019/2025 direct comparison,sum,
001020,Banchette,001020,Banchette,unchanged,,POSAS 2019/2025 direct comparison,sum,
001021,Barbania,001021,Barbania,unchanged,,POSAS 2019/2025 direct comparison,sum,
001022,Bardonecchia,001022,Bardonecchia,unchanged,,POSAS 2019/2025 direct comparison,sum,
001023,Barone Canavese,001023,Barone Canavese,unchanged,,POSAS 2019/2025 direct comparison,sum,
001024,Beinasco,001024,Beinasco,unchanged,,POSAS 2019/2025 direct comparison,sum,
001025,Bibiana,001025,Bibiana,unchanged,,POSAS 2019/2025 direct comparison,sum,
001026,Bobbio Pellice,001026,Bobbio Pellice,unchanged,,POSAS 2019/2025 direct comparison,sum,
001027,Bollengo,001027,Bollengo,unchanged,,POSAS 2019/2025 direct comparison,sum,
001028,Borgaro Torinese,001028,Borgaro Torinese,unchanged,,POSAS 2019/2025 direct comparison,sum,
001029,Borgiallo,001029,Borgiallo,unchanged,,POSAS 2019/2025 direct comparison,sum,
001030,Borgofranco d'Ivrea,001030,Borgofranco d'Ivrea,unchanged,,POSAS 2019/2025 direct comparison,sum,
001031,Borgomasino,001031,Borgomasino,unchanged,,POSAS 2019/2025 direct comparison,sum,
001032,Borgone Susa,001032,Borgone Susa,unchanged,,POSAS 2019/2025 direct comparison,sum,
001033,Bosconero,001033,Bosconero,unchanged,,POSAS 2019/2025 direct comparison,sum,
001034,Brandizzo,001034,Brandizzo,unchanged,,POSAS 2019/2025 direct comparison,sum,
001035,Bricherasio,001035,Bricherasio,unchanged,,POSAS 2019/2025 direct comparison,sum,
001036,Brosso,001036,Brosso,unchanged,,POSAS 2019/2025 direct comparison,sum,
001037,Brozolo,001037,Brozolo,unchanged,,POSAS 2019/2025 direct comparison,sum,
001038,Bruino,001038,Bruino,unchanged,,POSAS 2019/2025 direct comparison,sum,
001039,Brusasco,001039,Brusasco,unchanged,,POSAS 2019/2025 direct comparison,sum,
001040,Bruzolo,001040,Bruzolo,unchanged,,POSAS 2019/2025 direct comparison,sum,
001041,Buriasco,001041,Buriasco,unchanged,,POSAS 2019/2025 direct comparison,sum,
