source_status,normalized_status,analytical_group,include_in_main_analysis,target_isil,rationale,source_count
,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.,13200
Altri istituti collegati ad attività dell'ICCU,ALTRO_ISTITUTO_COLLEGATO_ICCU,ALTRO,False,,ICCU chiarisce che l'istituzione non è una biblioteca vera e propria ma una struttura di servizio collegata.,655
Biblioteca confluita,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,90
Biblioteca confluita in IT-AG0007,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-AG0007,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-AG0078,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-AG0078,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-AG0134,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-AG0134,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-AL0024,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-AL0024,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-AL0238,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-AL0238,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-AN0012,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-AN0012,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-AN0035,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-AN0035,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-AN0039,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-AN0039,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-AN0126,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-AN0126,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-AN0190,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-AN0190,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-AP0083,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-AP0083,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-AR0007,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-AR0007,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-AV0163,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-AV0163,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BA0033,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BA0033,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BA0136,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BA0136,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-BA0169,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BA0169,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-BA0282,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BA0282,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,5
Biblioteca confluita in IT-BA0354,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BA0354,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,3
Biblioteca confluita in IT-BG0044,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BG0044,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BG0290,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BG0290,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BN0006,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BN0006,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BN0034,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BN0034,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BN0095,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BN0095,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,5
Biblioteca confluita in IT-BO0012,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0012,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,10
Biblioteca confluita in IT-BO0098,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0098,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BO0121,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0121,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BO0212,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0212,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BO0280,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0280,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BO0282,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0282,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BO0330,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0330,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BO0342,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0342,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-BO0421,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0421,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,6
Biblioteca confluita in IT-BO0422,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0422,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,5
Biblioteca confluita in IT-BO0429,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0429,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,3
Biblioteca confluita in IT-BO0441,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0441,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BO0449,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0449,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BO0453,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0453,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BO0461,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0461,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BO0508,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0508,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,11
Biblioteca confluita in IT-BO0510,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0510,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-BO0518,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0518,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,3
Biblioteca confluita in IT-BO0540,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0540,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,7
Biblioteca confluita in IT-BO0639,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BO0639,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BS0026,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BS0026,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BS0208,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BS0208,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BS0360,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BS0360,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-BS0524,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-BS0524,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CA0011,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CA0011,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,8
Biblioteca confluita in IT-CA0015,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CA0015,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CA0017,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CA0017,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CA0033,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CA0033,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CA0147,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CA0147,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CA0180,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CA0180,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-CA0259,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CA0259,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CA0296,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CA0296,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CA0298,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CA0298,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,33
Biblioteca confluita in IT-CA0300,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CA0300,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,6
