concept,candidate_external_term,reuse_extend_create,rationale
Library,http://dati.beniculturali.it/cis/Library,REUSE,"Classe Cultural-ON esistente, sottoclasse di CulturalInstituteOrSite e semanticamente specifica per biblioteche."
Cultural institute/site,http://dati.beniculturali.it/cis/CulturalInstituteOrSite,REUSE,"Superclasse Cultural-ON già usata da cis:Library."
ISIL,http://dati.beniculturali.it/cis/ISILIdentifier,REUSE,"Datatype property funzionale con dominio CulturalInstituteOrSite; mantiene l'ISIL come stringa."
Physical site,http://dati.beniculturali.it/cis/Site,REUSE,"Cultural-ON distingue istituto e sede fisica."
Library-to-site,http://dati.beniculturali.it/cis/hasSite,REUSE,"Object property Cultural-ON con dominio CulturalInstituteOrSite e range Site."
Address,http://dati.beniculturali.it/cis/Address + http://www.w3.org/ns/locn#Address,REUSE,"cis:Address è coerente col dominio culturale; locn:Address/fullAddress viene aggiunto come descrizione interoperabile dell'indirizzo."
Full address,http://www.w3.org/ns/locn#fullAddress,REUSE,"Proprietà LOCN per indirizzo completo testuale."
Geographical location,http://dati.beniculturali.it/cis/hasGeographicalLocation,REUSE,"Collega cis:Site a cis:GeographicalFeature."
Municipality,http://dati.beniculturali.it/cis/GovernamentalAdministrativeArea,EXTEND,"Cultural-ON 2.0 non definisce una classe Municipality distinta; bf:Municipality specializza la classe amministrativa generica."
ISTAT municipality code,http://dati.beniculturali.it/cis/hasISTATCode,REUSE,"Proprietà funzionale Cultural-ON per codici ISTAT delle aree amministrative."
Coordinates,http://www.opengis.net/ont/geosparql#Feature / hasGeometry / asWKT,REUSE,"GeoSPARQL è appropriato per i punti delle sedi; evita proprietà geografiche locali."
Collection,http://dati.beniculturali.it/cis/Collection,REUSE,"Classe Cultural-ON per patrimonio/collezioni dell'istituto."
Library-to-collection,http://dati.beniculturali.it/cis/hasCollection,REUSE,"Proprietà Cultural-ON con range Collection."
Special collection,http://dati.beniculturali.it/cis/Collection,EXTEND,"I fondi speciali ICCU sono una specializzazione di Collection; creata bf:SpecialCollection."
Temporary closure,http://dati.beniculturali.it/cis/TemporaryClosure,DO_NOT_USE_FOR_SNAPSHOT,"La classe esiste, ma cis:hasDate descrive date della chiusura. Lo snapshot ICCU fornisce una data di osservazione, non l'inizio/fine della chiusura; usarla come data della chiusura altererebbe il significato."
Temporary closure type,http://dati.beniculturali.it/cis/TemporaryClosureType,DO_NOT_USE_FOR_ALL_STATUSES,"Esiste ed include esempi come inagibilità, ma gli 11 stati ICCU comprendono anche cessazione, confluenza, non censita e assenza di stato speciale; modellati come concetti SKOS."
Status concept,http://www.w3.org/2004/02/skos/core#Concept,REUSE,"Gli stati sono valori controllati, non classi OWL; SKOS evita proliferazione di classi."
Status scheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,REUSE,"Raggruppa gli stati normalizzati e i gruppi analitici."
Status observation,,CREATE,"Manca un termine esterno adeguato per una osservazione di stato bibliotecario allo snapshot; bf:LibraryStatusObservation preserva il contesto temporale."
Demographic observation,,CREATE,"Manca nel set di vocaboli selezionato un termine con semantica sufficientemente precisa e leggera; bf:DemographicObservation rappresenta il valore POSAS a data di riferimento."
Holding observation,,CREATE,"Le righe di patrimonio sono osservazioni quantitative per tipo di materiale, non necessariamente collezioni; bf:HoldingObservation evita una falsa equivalenza con cis:Collection."
Merger relation,,CREATE,"bf:mergedInto esprime la confluenza organizzativa tra biblioteche; nessun termine Cultural-ON verificato rappresenta questa relazione."
Previous name,https://schema.org/alternateName,REUSE,"Schema.org fornisce una proprietà generica adatta quando non è nota la temporalità del nome precedente."
Library class (Schema.org),https://schema.org/Library,DO_NOT_USE_AS_PRIMARY,"Esiste ma Cultural-ON è più specifico per il dominio culturale italiano e include ISIL, sedi e collezioni."
Dataset metadata,http://www.w3.org/ns/dcat#Dataset / Distribution,REUSE,"DCAT descrive dataset e serializzazioni ed è coerente con i metadati del progetto."
Provenance,http://www.w3.org/ns/prov#Entity / wasDerivedFrom / generatedAtTime,REUSE,"PROV-O riusato per collegare osservazioni e grafo alle fonti ICCU/ISTAT."
