administrative_type,BIBLIOTECA_CONFLUITA,BIBLIOTECA_IN_VIA_DI_ALLESTIMENTO,BIBLIOTECA_NON_CENSITA,BIBLIOTECA_NON_PIU_ESISTENTE,DEPOSITO_SENZA_PUNTO_DI_SERVIZIO,INAGIBILE,NESSUNO_STATO_SPECIALE_REGISTRATO,RIAPERTURA_AGIBILITA_PARZIALE,SERVIZI_SOSPESI_CAUSA_SISMA,TEMPORANEAMENTE_CHIUSA
"Accademie, associazioni, fondazioni, istituti (pubblici)",1.41643059490085,0.28328611898017,18.413597733711047,8.876298394711993,0.0,0.0,66.19452313503305,0.0,0.0,4.815864022662889
"Accademie, associazioni, fondazioni, istituti, societa' (privati)",1.0050251256281406,0.06281407035175879,11.118090452261306,9.359296482412061,0.0,0.06281407035175879,74.6859296482412,0.0,0.0,3.7060301507537687
Aziende ed amministrazioni dello stato ad ordinamento autonomo,2.48868778280543,0.22624434389140274,28.054298642533936,11.085972850678733,0.0,0.0,55.203619909502265,0.0,0.0,2.941176470588235
Aziende ed enti del servizio sanitario nazionale,3.5398230088495577,0.0,21.238938053097346,15.929203539823009,0.8849557522123894,0.0,53.09734513274337,0.0,0.0,5.3097345132743365
"Camere di commercio, industria, artigianato",1.3513513513513513,0.0,6.756756756756757,36.486486486486484,0.0,0.0,51.35135135135135,0.0,0.0,4.054054054054054
Centrale,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Città metropolitana,0.0,0.0,0.0,2.127659574468085,0.0,0.0,97.87234042553192,0.0,0.0,0.0
Comune,0.6643635397289397,0.13287270794578793,2.378421472229604,6.05899548232793,0.07972362476747276,0.03986181238373638,85.82248206218442,0.013287270794578792,0.11958543715120913,4.690406590486314
Comune - Istituzione comunale,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Comunita' montana,0.0,0.0,8.333333333333332,33.33333333333333,0.0,0.0,54.166666666666664,0.0,0.0,4.166666666666666
"Consorzio e/o associazioni di regioni, province, comuni e comunità montane",0.0,0.0,7.017543859649122,15.789473684210526,0.0,0.0,75.43859649122807,0.0,0.0,1.7543859649122806
Direzione Generale Archivi,0.6802721088435374,0.6802721088435374,0.0,1.3605442176870748,0.0,0.0,93.87755102040816,0.0,0.6802721088435374,2.7210884353741496
Direzione generale Biblioteche e diritto d'autore,0.0,0.0,0.0,0.0,0.0,0.0,96.15384615384616,0.0,0.0,3.8461538461538463
Direzione generale Musei,6.666666666666667,0.0,0.0,2.2222222222222223,0.0,0.0,84.44444444444444,0.0,0.0,6.666666666666667
"Direzione generale archeologia, belle arti e paesaggio",5.172413793103448,0.0,1.7241379310344827,5.172413793103448,0.0,0.0,82.75862068965517,0.0,0.0,5.172413793103448
Direzione generale educazione e ricerca,25.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0
Direzione generale per i beni architettonici e paesaggistici,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Direzione generale per il Paesaggio, le Belle Arti, l'Architettura e l'Arte contemporanee",0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
"Direzione generale per il patrimonio storico, artistico e etnoantropologico",0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Enti ecclesiastici,3.20048309178744,0.12077294685990338,13.285024154589372,9.239130434782608,0.18115942028985507,0.0,72.04106280193237,0.0,0.06038647342995169,1.8719806763285023
Enti territoriali,0.0,0.0,0.0,20.0,0.0,0.0,80.0,0.0,0.0,0.0
Istituti centrali,14.285714285714285,0.0,0.0,0.0,0.0,0.0,85.71428571428571,0.0,0.0,0.0
Istituzioni extraterritoriali,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Istituzioni straniere,0.0,1.694915254237288,15.254237288135593,13.559322033898304,0.0,0.0,66.10169491525424,0.0,0.0,3.389830508474576
Ministero della Cultura,8.695652173913043,0.0,0.0,4.3478260869565215,4.3478260869565215,0.0,73.91304347826086,0.0,0.0,8.695652173913043
NON SPECIFICATA,8.633093525179856,0.539568345323741,51.97841726618705,35.61151079136691,0.1798561151079137,0.0,2.338129496402878,0.0,0.0,0.7194244604316548
Organi costituzionali,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,92.3076923076923,0.0,0.0,0.0
Organizzazioni internazionali,0.0,0.0,33.33333333333333,14.814814814814813,0.0,0.0,51.85185185185185,0.0,0.0,0.0
Presidenza del consiglio dei ministri e ministeri,0.53475935828877,0.4010695187165776,6.283422459893048,4.010695187165775,0.06684491978609625,0.0,86.83155080213903,0.0,0.06684491978609625,1.8048128342245988
Privati - Famiglie,4.23728813559322,0.0,19.491525423728813,7.627118644067797,0.0,0.0,66.10169491525424,0.0,0.0,2.5423728813559325
Provincia,6.569343065693431,0.7299270072992701,8.02919708029197,13.138686131386862,0.0,0.0,67.88321167883211,0.0,0.0,3.64963503649635
Regione,3.614457831325301,0.0,18.87550200803213,8.433734939759036,0.0,0.0,63.45381526104418,0.0,0.0,5.622489959839357
Unione di Comuni,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Universita' non statali,0.0,0.0,3.8461538461538463,13.461538461538462,0.0,0.0,82.6923076923077,0.0,0.0,0.0
Universita' statali,44.546456114579506,0.07344840249724569,0.6243114212265883,12.192434814542784,0.6977598237238339,0.0,40.80058758721998,0.03672420124862284,0.0,1.0282776349614395
