component_id,nodes,edges,max_in_degree
1,40,39,39
2,35,34,34
3,34,33,33
4,34,33,33
5,33,32,32
6,31,30,30
7,29,28,28
8,26,25,25
9,23,22,15
10,21,20,20
11,21,20,20
12,17,16,16
13,16,15,15
14,15,14,14
15,14,13,13
16,14,13,13
17,14,13,13
18,13,12,12
19,13,12,12
20,13,12,12
21,13,12,12
22,12,11,11
23,12,11,11
24,12,11,11
25,12,11,11
26,12,11,11
27,12,11,11
28,12,11,11
29,12,11,11
30,11,10,10
31,11,10,8
32,11,10,10
33,11,10,10
34,11,10,10
35,11,10,8
36,11,10,6
37,10,9,9
38,10,9,9
39,10,9,9
40,9,8,7
41,9,8,6
42,9,8,6
43,9,8,8
44,9,8,8
45,9,8,8
46,9,8,8
47,8,7,6
48,8,7,7
49,8,7,4
50,8,7,7
51,8,7,6
52,8,7,7
53,7,6,6
54,7,6,6
55,7,6,6
56,7,6,6
57,7,6,6
58,7,6,6
59,7,6,6
60,7,6,6
61,7,6,6
62,7,6,6
63,7,6,6
64,7,6,6
65,7,6,6
66,7,6,6
67,7,6,6
68,7,6,6
69,7,6,6
70,7,6,3
71,6,5,5
72,6,5,5
73,6,5,5
74,6,5,5
75,6,5,4
76,6,5,5
77,6,5,5
78,6,5,5
79,6,5,5
80,6,5,5
81,5,4,4
82,5,4,4
83,5,4,4
84,5,4,4
85,5,4,4
86,5,4,3
87,5,4,4
88,5,4,4
89,5,4,4
90,5,4,4
91,5,4,4
92,5,4,4
93,5,4,4
94,5,4,4
95,5,4,3
96,5,4,4
97,5,4,4
98,5,4,4
99,5,4,4
100,4,3,3
101,4,3,3
102,4,3,3
103,4,3,3
104,4,3,3
105,4,3,3
106,4,3,3
107,4,3,2
108,4,3,3
109,4,3,3
110,4,3,3
111,4,3,3
112,4,3,3
113,4,3,3
114,4,3,3
115,4,3,3
116,4,3,3
117,4,3,2
118,4,3,3
119,4,3,3
120,4,3,3
121,4,3,2
122,4,3,3
123,4,3,3
124,4,3,3
125,4,3,3
126,4,3,3
127,4,3,3
128,4,3,3
129,4,3,2
130,4,3,3
131,4,3,2
132,4,3,3
133,4,3,3
134,3,2,2
135,3,2,2
136,3,2,2
137,3,2,2
138,3,2,2
