istat_code,municipality_name,province,region,population_2025,total_libraries,main_problematic_libraries,problematic_share,problematic_libraries_per_100k
15146,Milano,Milano,LOMBARDIA,1365698,624.0,139.0,0.2227564102564102,10.177945636590229
58091,Roma,Roma,LAZIO,2747290,1165.0,117.0,0.1004291845493562,4.25874225145507
10025,Genova,Genova,LIGURIA,564080,307.0,90.0,0.2931596091205212,15.955183661891931
63049,Napoli,Napoli,CAMPANIA,909013,461.0,78.0,0.1691973969631236,8.580735369021125
1272,Torino,Torino,PIEMONTE,853196,369.0,63.0,0.1707317073170731,7.384000862638831
50026,Pisa,Pisa,TOSCANA,89422,166.0,61.0,0.3674698795180723,68.21587528796046
37006,Bologna,Bologna,EMILIA-ROMAGNA,390151,329.0,59.0,0.1793313069908814,15.12235006446222
18110,Pavia,Pavia,LOMBARDIA,71610,168.0,49.0,0.2916666666666667,68.42619745845552
82053,Palermo,Palermo,SICILIA,628693,278.0,39.0,0.1402877697841726,6.203345671098612
54039,Perugia,Perugia,UMBRIA,162050,193.0,35.0,0.1813471502590673,21.598272138228943
48017,Firenze,Firenze,TOSCANA,361705,358.0,33.0,0.0921787709497206,9.123456960782958
32006,Trieste,Trieste,FRIULI-VENEZIA GIULIA,198388,204.0,26.0,0.1274509803921568,13.1056313889953
92009,Cagliari,Cagliari,SARDEGNA,146692,156.0,23.0,0.1474358974358974,15.679109971913942
28060,Padova,Padova,VENETO,207412,191.0,22.0,0.1151832460732984,10.60690798989451
36023,Modena,Modena,EMILIA-ROMAGNA,184074,97.0,20.0,0.2061855670103092,10.865195519193367
42002,Ancona,Ancona,MARCHE,99533,58.0,18.0,0.3103448275862069,18.08445440205761
34027,Parma,Parma,EMILIA-ROMAGNA,198693,147.0,18.0,0.1224489795918367,9.05920188431399
16024,Bergamo,Bergamo,LOMBARDIA,120389,77.0,17.0,0.2207792207792207,14.120891443570423
27042,Venezia,Venezia,VENETO,249490,183.0,17.0,0.0928961748633879,6.813900356727724
49009,Livorno,Livorno,TOSCANA,153154,68.0,16.0,0.2352941176470588,10.447001057758856
38008,Ferrara,Ferrara,EMILIA-ROMAGNA,129081,129.0,14.0,0.1085271317829457,10.8459029601568
87015,Catania,Catania,SICILIA,298054,145.0,14.0,0.096551724137931,4.697135418414113
78102,Rende,Cosenza,CALABRIA,36781,53.0,13.0,0.2452830188679245,35.34433539055491
30129,Udine,Udine,FRIULI-VENEZIA GIULIA,98279,71.0,13.0,0.1830985915492957,13.227647818964376
