category,quantity_state,rows
Altri documenti di biblioteca,missing,3
Altri documenti di biblioteca,positive,8
Basi dati full text,positive,1
Basi di dati,missing,3
Cataloghi,positive,4
Documenti audiovisivi,missing,53
Documenti audiovisivi,positive,274
Documenti cartografici,missing,7
Documenti cartografici,positive,85
Documenti elettronici,missing,7
Documenti elettronici,positive,65
Documenti grafico-iconici,missing,56
Documenti grafico-iconici,positive,134
Documenti musicali a stampa,missing,4
Documenti musicali a stampa,positive,35
Legati,missing,12
Legati,positive,18
Manoscritti,missing,25
Manoscritti,positive,49
Microforme,missing,5
Microforme,positive,10
Pubblicazioni in serie,missing,75
Pubblicazioni in serie,positive,613
Pubblicazioni in serie elettroniche,positive,3
Sciolti,missing,12
Sciolti,positive,18
Totale posseduto,positive,261
Volumi ed opuscoli,missing,199
Volumi ed opuscoli,positive,789
