category,material,rows,libraries,known_quantity_sum,known_quantity_n,missing_quantity_n
Volumi ed opuscoli,volumi ed opuscoli,627,627,4086603.0,518,109
Pubblicazioni in serie,periodici,292,292,64833.0,251,41
Totale posseduto,totale posseduto,261,261,2333597.0,261,0
Pubblicazioni in serie,periodici correnti,145,145,8840.0,139,6
Pubblicazioni in serie,periodici spenti,97,97,16352.0,90,7
Documenti audiovisivi,documenti audiovisivi,89,89,26125.0,89,0
Volumi ed opuscoli,edizioni del '800,83,83,27898.0,50,33
Pubblicazioni in serie,giornali,78,78,1356.0,64,14
Documenti audiovisivi,videocassette,76,76,9796.0,65,11
Manoscritti,manoscritti,73,73,158201.0,49,24
Documenti cartografici,documenti cartografici,64,64,7998.0,63,1
Volumi ed opuscoli,edizioni del '500,61,61,14194.0,53,8
Documenti grafico-iconici,fotografie,58,58,101347.0,30,28
Volumi ed opuscoli,edizioni del '700,57,57,16830.0,35,22
Volumi ed opuscoli,edizioni del '600,49,49,5694.0,34,15
Volumi ed opuscoli,letteratura grigia,48,48,4772.0,48,0
Documenti audiovisivi,dischi,47,47,19677.0,36,11
Documenti grafico-iconici,documenti grafico-iconici,47,47,140724.0,47,0
Documenti grafico-iconici,diapositive,44,44,52048.0,29,15
Documenti audiovisivi,cassette,40,40,7041.0,31,9
Documenti elettronici,documenti elettronici,38,38,16780.0,38,0
Pubblicazioni in serie,giornali correnti,38,38,337.0,36,2
Documenti elettronici,CD-ROM,32,32,18821.0,26,6
Documenti cartografici,carte geografiche e mappe,28,28,9399.0,22,6
Documenti musicali a stampa,documenti musicali a stampa,27,27,20327.0,27,0
Documenti audiovisivi,audiovisivi,25,25,16580.0,20,5
Volumi ed opuscoli,incunaboli,22,22,559.0,20,2
Pubblicazioni in serie,giornali spenti,18,18,814.0,13,5
Volumi ed opuscoli,libri per ragazzi,17,17,10163.0,16,1
Legati,carteggi,16,16,23080.0,6,10
Documenti grafico-iconici,disegni,15,15,9429.0,11,4
Pubblicazioni in serie,annate di periodici,14,14,18255.0,14,0
Documenti audiovisivi,nastri,13,13,62.0,8,5
Documenti musicali a stampa,stampati musicali,12,12,5087.0,8,4
Microforme,microfilm,12,12,3735.0,8,4
Documenti audiovisivi,filmati,10,10,967.0,8,2
Documenti grafico-iconici,incisioni,10,10,8412.0,7,3
Sciolti,musica manoscritta,10,10,2367.0,6,4
Documenti audiovisivi,compact disc,9,9,5955.0,6,3
Sciolti,autografi,9,9,163.0,2,7
Documenti audiovisivi,materiale multimediale,8,8,2638.0,8,0
Documenti audiovisivi,supporti ottici,6,6,7.0,3,3
Legati,codici,6,6,1282.0,4,2
Pubblicazioni in serie,pubblicazione in serie,6,6,372.0,6,0
Documenti grafico-iconici,cartoline,4,4,3230.0,4,0
Volumi ed opuscoli,libretti,4,4,339.0,3,1
Basi di dati,basi di dati,3,3,0.0,0,3
