region,total_libraries,problematic,problematic_share,problematic_share_percent,problematic_per_100k_population
MOLISE,183,80,0.4371584699453552,43.71584699453552,27.79572918621054
LIGURIA,657,209,0.3181126331811263,31.81126331811263,13.839748950927165
ABRUZZO,419,93,0.22195704057279236,22.195704057279237,7.327923802199638
UMBRIA,407,73,0.17936117936117937,17.936117936117938,8.573378134127564
EMILIA-ROMAGNA,1468,221,0.1505449591280654,15.054495912806539,4.952938123235375
CALABRIA,637,92,0.14442700156985872,14.442700156985872,5.014591370760353
CAMPANIA,1472,209,0.14198369565217392,14.198369565217392,3.7439516818852034
TOSCANA,1299,184,0.14164742109314857,14.164742109314856,5.030461632341057
BASILICATA,206,27,0.13106796116504854,13.106796116504855,5.09430117508547
LOMBARDIA,2820,366,0.12978723404255318,12.978723404255318,3.647627975432927
MARCHE,662,81,0.12235649546827794,12.235649546827794,5.470958329534057
PIEMONTE,1550,182,0.11741935483870967,11.741935483870968,4.280471548034887
SICILIA,1307,153,0.117061973986228,11.7061973986228,3.195895884814064
VALLE D'AOSTA/VALLÉE D'AOSTE,77,8,0.1038961038961039,10.38961038961039,6.528906734567296
FRIULI-VENEZIA GIULIA,560,58,0.10357142857142858,10.357142857142858,4.860536133896038
LAZIO,1766,182,0.10305775764439411,10.30577576443941,3.1878494592391413
SARDEGNA,800,69,0.08625,8.625,4.416336348176277
VENETO,1312,112,0.08536585365853659,8.536585365853659,2.3076263755101505
PUGLIA,838,67,0.07995226730310262,7.995226730310262,1.727964264667386
TRENTINO-ALTO ADIGE/SÜDTIROL,516,31,0.060077519379844964,6.007751937984496,2.8538497512547734
