normalized_status,analytical_group,libraries,with_type_detail,with_holdings,with_special_collection,type_detail_coverage_percent,holdings_coverage_percent,special_collection_coverage_percent
ALTRO_ISTITUTO_COLLEGATO_ICCU,ALTRO,655,0,0,0,0.0,0.0,0.0
BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,1502,0,0,0,0.0,0.0,0.0
BIBLIOTECA_IN_VIA_DI_ALLESTIMENTO,AVVIO,34,22,22,0,64.70588235294117,64.70588235294117,0.0
BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,1723,0,0,0,0.0,0.0,0.0
BIBLIOTECA_NON_PIU_ESISTENTE,CESSAZIONE,1827,0,0,0,0.0,0.0,0.0
DEPOSITO_SENZA_PUNTO_DI_SERVIZIO,ASSENZA_PUNTO_DI_SERVIZIO,33,0,0,0,0.0,0.0,0.0
INAGIBILE,INTERRUZIONE_DEL_SERVIZIO,4,4,4,0,100.0,100.0,0.0
NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,13200,13066,13066,2449,98.98484848484848,98.98484848484848,18.5530303030303
RIAPERTURA_AGIBILITA_PARZIALE,OPERATIVITA_PARZIALE,2,2,2,0,100.0,100.0,0.0
SERVIZI_SOSPESI_CAUSA_SISMA,INTERRUZIONE_DEL_SERVIZIO,12,12,12,0,100.0,100.0,0.0
TEMPORANEAMENTE_CHIUSA,INTERRUZIONE_DEL_SERVIZIO,619,609,609,0,98.38449111470113,98.38449111470113,0.0
