normalized_status,analytical_group,include_main,count,share_registry_percent
NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,13200,67.30916322472082
BIBLIOTECA_NON_PIU_ESISTENTE,CESSAZIONE,True,1827,9.316200091785221
BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,False,1723,8.785885472438936
BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,1502,7.658966906328081
ALTRO_ISTITUTO_COLLEGATO_ICCU,ALTRO,False,655,3.339962266075162
TEMPORANEAMENTE_CHIUSA,INTERRUZIONE_DEL_SERVIZIO,True,619,3.1563918209168325
BIBLIOTECA_IN_VIA_DI_ALLESTIMENTO,AVVIO,False,34,0.17337208709397786
DEPOSITO_SENZA_PUNTO_DI_SERVIZIO,ASSENZA_PUNTO_DI_SERVIZIO,True,33,0.16827290806180206
SERVIZI_SOSPESI_CAUSA_SISMA,INTERRUZIONE_DEL_SERVIZIO,True,12,0.06119014838610984
INAGIBILE,INTERRUZIONE_DEL_SERVIZIO,True,4,0.02039671612870328
RIAPERTURA_AGIBILITA_PARZIALE,OPERATIVITA_PARZIALE,True,2,0.01019835806435164
