field,missing,missing_percent,non_missing,distinct_non_missing
isil,0,0.0,19611,19611
sbn_code,12214,62.28137269899546,7397,7397
acnp_code,18685,95.2781602162052,926,882
cei_code,18882,96.28269848554383,729,726
cmbs_code,19606,99.97450410483913,5,5
rism_code,18462,94.14104329202998,1149,1145
census_year,8150,41.558309112232934,11461,18
updated_date,2900,14.787619193309878,16711,1774
name_original,0,0.0,19611,16242
name_normalized,0,0.0,19611,16230
address_original,951,4.849319259599205,18660,16107
address_normalized,951,4.849319259599205,18660,16061
hamlet,18297,93.29967875172098,1314,1092
postal_code,620,3.1614909999490086,18991,4352
municipality_name,0,0.0,19611,6658
istat_code,0,0.0,19611,6660
province_name,0,0.0,19611,107
province_istat_code,0,0.0,19611,107
province_abbrev,0,0.0,19611,107
region,0,0.0,19611,20
latitude_original,24,0.12238029677221968,19587,17331
longitude_original,24,0.12238029677221968,19587,17313
restricted_access,3783,19.290194278721128,15828,2
disabled_access,9410,47.983274692774465,10201,3
administrative_type,0,0.0,19611,35
functional_type,0,0.0,19611,9
owning_entity,1364,6.955280199887818,18247,14869
source_status,13200,67.30916322472082,6411,448
latitude,87,0.4436285757992963,19524,17330
longitude,87,0.4436285757992963,19524,17312
coordinate_quality_flag,0,0.0,19611,4
