region,statusCode,libraries
ABRUZZO,NESSUNO_STATO_SPECIALE_REGISTRATO,248
ABRUZZO,BIBLIOTECA_NON_CENSITA,72
ABRUZZO,BIBLIOTECA_NON_PIU_ESISTENTE,57
ABRUZZO,TEMPORANEAMENTE_CHIUSA,32
ABRUZZO,ALTRO_ISTITUTO_COLLEGATO_ICCU,22
ABRUZZO,BIBLIOTECA_CONFLUITA,6
ABRUZZO,SERVIZI_SOSPESI_CAUSA_SISMA,2
ABRUZZO,INAGIBILE,1
ABRUZZO,RIAPERTURA_AGIBILITA_PARZIALE,1
BASILICATA,NESSUNO_STATO_SPECIALE_REGISTRATO,165
BASILICATA,BIBLIOTECA_NON_PIU_ESISTENTE,17
BASILICATA,BIBLIOTECA_NON_CENSITA,14
BASILICATA,TEMPORANEAMENTE_CHIUSA,10
BASILICATA,ALTRO_ISTITUTO_COLLEGATO_ICCU,5
CALABRIA,NESSUNO_STATO_SPECIALE_REGISTRATO,465
CALABRIA,BIBLIOTECA_NON_CENSITA,66
CALABRIA,BIBLIOTECA_NON_PIU_ESISTENTE,55
CALABRIA,TEMPORANEAMENTE_CHIUSA,37
CALABRIA,BIBLIOTECA_CONFLUITA,13
CALABRIA,ALTRO_ISTITUTO_COLLEGATO_ICCU,1
CALABRIA,BIBLIOTECA_IN_VIA_DI_ALLESTIMENTO,1
CAMPANIA,NESSUNO_STATO_SPECIALE_REGISTRATO,1010
CAMPANIA,BIBLIOTECA_NON_CENSITA,159
CAMPANIA,BIBLIOTECA_NON_PIU_ESISTENTE,147
CAMPANIA,BIBLIOTECA_CONFLUITA,92
CAMPANIA,TEMPORANEAMENTE_CHIUSA,55
CAMPANIA,DEPOSITO_SENZA_PUNTO_DI_SERVIZIO,5
CAMPANIA,ALTRO_ISTITUTO_COLLEGATO_ICCU,4
CAMPANIA,BIBLIOTECA_IN_VIA_DI_ALLESTIMENTO,2
CAMPANIA,RIAPERTURA_AGIBILITA_PARZIALE,1
CAMPANIA,SERVIZI_SOSPESI_CAUSA_SISMA,1
EMILIA-ROMAGNA,NESSUNO_STATO_SPECIALE_REGISTRATO,998
EMILIA-ROMAGNA,BIBLIOTECA_CONFLUITA,210
EMILIA-ROMAGNA,BIBLIOTECA_NON_PIU_ESISTENTE,174
EMILIA-ROMAGNA,ALTRO_ISTITUTO_COLLEGATO_ICCU,56
EMILIA-ROMAGNA,TEMPORANEAMENTE_CHIUSA,41
EMILIA-ROMAGNA,BIBLIOTECA_NON_CENSITA,38
EMILIA-ROMAGNA,DEPOSITO_SENZA_PUNTO_DI_SERVIZIO,5
EMILIA-ROMAGNA,BIBLIOTECA_IN_VIA_DI_ALLESTIMENTO,1
EMILIA-ROMAGNA,SERVIZI_SOSPESI_CAUSA_SISMA,1
FRIULI-VENEZIA GIULIA,NESSUNO_STATO_SPECIALE_REGISTRATO,410
FRIULI-VENEZIA GIULIA,BIBLIOTECA_CONFLUITA,60
FRIULI-VENEZIA GIULIA,BIBLIOTECA_NON_PIU_ESISTENTE,50
FRIULI-VENEZIA GIULIA,BIBLIOTECA_NON_CENSITA,32
FRIULI-VENEZIA GIULIA,ALTRO_ISTITUTO_COLLEGATO_ICCU,16
FRIULI-VENEZIA GIULIA,TEMPORANEAMENTE_CHIUSA,6
FRIULI-VENEZIA GIULIA,DEPOSITO_SENZA_PUNTO_DI_SERVIZIO,2
LAZIO,NESSUNO_STATO_SPECIALE_REGISTRATO,1196
LAZIO,BIBLIOTECA_NON_CENSITA,265
LAZIO,BIBLIOTECA_NON_PIU_ESISTENTE,130
LAZIO,BIBLIOTECA_CONFLUITA,120
LAZIO,TEMPORANEAMENTE_CHIUSA,44
LAZIO,ALTRO_ISTITUTO_COLLEGATO_ICCU,38
LAZIO,DEPOSITO_SENZA_PUNTO_DI_SERVIZIO,7
LAZIO,BIBLIOTECA_IN_VIA_DI_ALLESTIMENTO,3
LAZIO,SERVIZI_SOSPESI_CAUSA_SISMA,1
LIGURIA,NESSUNO_STATO_SPECIALE_REGISTRATO,348
LIGURIA,BIBLIOTECA_NON_PIU_ESISTENTE,149
LIGURIA,BIBLIOTECA_CONFLUITA,94
LIGURIA,TEMPORANEAMENTE_CHIUSA,55
LIGURIA,ALTRO_ISTITUTO_COLLEGATO_ICCU,22
LIGURIA,BIBLIOTECA_NON_CENSITA,6
LIGURIA,DEPOSITO_SENZA_PUNTO_DI_SERVIZIO,5
LOMBARDIA,NESSUNO_STATO_SPECIALE_REGISTRATO,2052
LOMBARDIA,BIBLIOTECA_NON_PIU_ESISTENTE,318
LOMBARDIA,BIBLIOTECA_NON_CENSITA,263
LOMBARDIA,BIBLIOTECA_CONFLUITA,138
LOMBARDIA,ALTRO_ISTITUTO_COLLEGATO_ICCU,130
LOMBARDIA,TEMPORANEAMENTE_CHIUSA,47
LOMBARDIA,BIBLIOTECA_IN_VIA_DI_ALLESTIMENTO,1
LOMBARDIA,DEPOSITO_SENZA_PUNTO_DI_SERVIZIO,1
MARCHE,NESSUNO_STATO_SPECIALE_REGISTRATO,428
MARCHE,ALTRO_ISTITUTO_COLLEGATO_ICCU,111
MARCHE,BIBLIOTECA_NON_CENSITA,90
MARCHE,BIBLIOTECA_NON_PIU_ESISTENTE,63
MARCHE,BIBLIOTECA_CONFLUITA,62
MARCHE,TEMPORANEAMENTE_CHIUSA,14
MARCHE,SERVIZI_SOSPESI_CAUSA_SISMA,4
MARCHE,BIBLIOTECA_IN_VIA_DI_ALLESTIMENTO,1
MOLISE,NESSUNO_STATO_SPECIALE_REGISTRATO,82
MOLISE,BIBLIOTECA_NON_PIU_ESISTENTE,43
MOLISE,TEMPORANEAMENTE_CHIUSA,36
MOLISE,BIBLIOTECA_NON_CENSITA,19
MOLISE,ALTRO_ISTITUTO_COLLEGATO_ICCU,3
MOLISE,BIBLIOTECA_CONFLUITA,1
MOLISE,BIBLIOTECA_IN_VIA_DI_ALLESTIMENTO,1
MOLISE,SERVIZI_SOSPESI_CAUSA_SISMA,1
PIEMONTE,NESSUNO_STATO_SPECIALE_REGISTRATO,1155
