library,isil,libraryName,municipality,municipalityName,region,statusCode,population2019,population2025,changePercent
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CS0120,IT-CS0120,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/078147,Terravecchia,CALABRIA,TEMPORANEAMENTE_CHIUSA,695,564,-18.848920863309353
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CB0071,IT-CB0071,Biblioteca del Centro di lettura,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/070045,Montemitro,MOLISE,TEMPORANEAMENTE_CHIUSA,337,274,-18.694362017804153
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-IS0055,IT-IS0055,Biblioteca del Centro sociale di educazione permanente,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/094035,Pietrabbondante,MOLISE,TEMPORANEAMENTE_CHIUSA,706,579,-17.988668555240793
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CS0113,IT-CS0113,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/078137,Scala Coeli,CALABRIA,TEMPORANEAMENTE_CHIUSA,920,756,-17.82608695652174
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CB0073,IT-CB0073,Biblioteca del Centro sociale di educazione permanente,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/070077,Tavenna,MOLISE,TEMPORANEAMENTE_CHIUSA,679,559,-17.673048600883654
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VV0043,IT-VV0043,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/102024,Nardodipace,CALABRIA,TEMPORANEAMENTE_CHIUSA,1243,1029,-17.216411906677394
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-AQ0020,IT-AQ0020,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/066024,Carapelle Calvisio,ABRUZZO,TEMPORANEAMENTE_CHIUSA,84,70,-16.666666666666664
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CS0060,IT-CS0060,Biblioteca comunale Bruno da Longobucco,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/078068,Longobucco,CALABRIA,TEMPORANEAMENTE_CHIUSA,2935,2490,-15.1618398637138
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-AP0081,IT-AP0081,Biblioteca comunale di Arquata del Tronto,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/044006,Arquata del Tronto,MARCHE,SERVIZI_SOSPESI_CAUSA_SISMA,1091,926,-15.123739688359302
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-ME0003,IT-ME0003,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/083002,Alì,SICILIA,TEMPORANEAMENTE_CHIUSA,724,615,-15.05524861878453
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CB0035,IT-CB0035,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/070035,Macchia Valfortore,MOLISE,TEMPORANEAMENTE_CHIUSA,536,456,-14.925373134328357
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CN0253,IT-CN0253,Biblioteca civica di Sale S. Giovanni,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/004200,Sale San Giovanni,PIEMONTE,TEMPORANEAMENTE_CHIUSA,169,144,-14.792899408284024
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CB0105,IT-CB0105,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/070058,Ripabottoni,MOLISE,TEMPORANEAMENTE_CHIUSA,490,419,-14.489795918367346
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MT0052,IT-MT0052,Biblioteca comunale Rocco Scotellaro,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/077026,San Mauro Forte,BASILICATA,TEMPORANEAMENTE_CHIUSA,1410,1208,-14.326241134751774
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-AL0205,IT-AL0205,Biblioteca civica,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/006048,Castelletto d'Erro,PIEMONTE,TEMPORANEAMENTE_CHIUSA,148,127,-14.18918918918919
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CB0022,IT-CB0022,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/070019,Civitacampomarano,MOLISE,TEMPORANEAMENTE_CHIUSA,346,298,-13.872832369942195
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-IS0069,IT-IS0069,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/094004,Belmonte del Sannio,MOLISE,TEMPORANEAMENTE_CHIUSA,707,610,-13.719943422913719
