source,sourceISIL,sourceName,target,targetISIL,targetName,selfLoop
https://biblioteche-fantasma.invalid/resource/library/IT-AG0049,IT-AG0049,Biblioteca di cinema e spettacolo Efebo d'Oro,https://biblioteche-fantasma.invalid/resource/library/IT-AG0078,IT-AG0078,Biblioteca della Provincia regionale di Agrigento Gaspare Ambrosini,false
https://biblioteche-fantasma.invalid/resource/library/IT-AG0080,IT-AG0080,Biblioteca comunale Santo Spirito. Sezione esterna di Villaggio Mosè,https://biblioteche-fantasma.invalid/resource/library/IT-AG0007,IT-AG0007,Biblioteca Comunale Franco La Rocca,false
https://biblioteche-fantasma.invalid/resource/library/IT-AL0147,IT-AL0147,Biblioteca diocesana,https://biblioteche-fantasma.invalid/resource/library/IT-AL0024,IT-AL0024,Biblioteca del Seminario vescovile,false
https://biblioteche-fantasma.invalid/resource/library/IT-AL0155,IT-AL0155,Biblioteca del Dipartimento di scienze giuridiche ed economiche dell'Università degli studi del Piemonte orientale Amedeo Avogadro. Sede di Alessandria,https://biblioteche-fantasma.invalid/resource/library/IT-AL0238,IT-AL0238,Biblioteca del Polo universitario di Alessandria (sede Borsalino),false
https://biblioteche-fantasma.invalid/resource/library/IT-AL0156,IT-AL0156,Biblioteca Norberto Bobbio.Università degli studi del Piemonte orientale Amedeo Avogadro,https://biblioteche-fantasma.invalid/resource/library/IT-AL0238,IT-AL0238,Biblioteca del Polo universitario di Alessandria (sede Borsalino),false
https://biblioteche-fantasma.invalid/resource/library/IT-AN0007,IT-AN0007,Biblioteca centrale dei frati cappuccini delle Marche,https://biblioteche-fantasma.invalid/resource/library/IT-FM0049,IT-FM0049,Biblioteca Centrale dei Frati Cappuccini delle Marche,false
https://biblioteche-fantasma.invalid/resource/library/IT-AN0010,IT-AN0010,"Biblioteca della Soprintendenza Archeologia, belle arti e paesaggio delle Marche. Architettura",https://biblioteche-fantasma.invalid/resource/library/IT-AN0012,IT-AN0012,"Biblioteca della Soprintendenza Archeologia, Belle Arti e Paesaggio per le province Ancona Pesaro Urbino",false
https://biblioteche-fantasma.invalid/resource/library/IT-AN0034,IT-AN0034,Biblioteca del Capitolo della cattedrale di S. Venanzo,https://biblioteche-fantasma.invalid/resource/library/IT-AN0035,IT-AN0035,Biblioteca diocesana,false
https://biblioteche-fantasma.invalid/resource/library/IT-AN0048,IT-AN0048,Biblioteca dei padri cappuccini,https://biblioteche-fantasma.invalid/resource/library/IT-FM0049,IT-FM0049,Biblioteca Centrale dei Frati Cappuccini delle Marche,false
https://biblioteche-fantasma.invalid/resource/library/IT-AN0107,IT-AN0107,Biblioteca del Dipartimento di meccanica dell'Università degli studi di Ancona,https://biblioteche-fantasma.invalid/resource/library/IT-AN0126,IT-AN0126,Biblioteca Tecnico Scientifica Biomedica - Centro di Ateneo di Documentazione - Polo Montedago - Università Politecnica delle Marche,false
https://biblioteche-fantasma.invalid/resource/library/IT-AN0132,IT-AN0132,Biblioteca del Centro sociale di educazione permanente,https://biblioteche-fantasma.invalid/resource/library/IT-AN0190,IT-AN0190,Biblioteca comunale di Angeli di Rosora,false
https://biblioteche-fantasma.invalid/resource/library/IT-AP0069,IT-AP0069,Biblioteca dei frati cappuccini,https://biblioteche-fantasma.invalid/resource/library/IT-AN0039,IT-AN0039,Biblioteca storico-francescana e picena,false
https://biblioteche-fantasma.invalid/resource/library/IT-AP0114,IT-AP0114,"Biblioteca di Beni culturali del Dipartimento di Scienze della formazione, dei beni culturali e del turismo dell'Università di Macerata",https://biblioteche-fantasma.invalid/resource/library/IT-MC0263,IT-MC0263,"Biblioteca di  Scienze della formazione, dei Beni Culturali e del Turismo ",false
https://biblioteche-fantasma.invalid/resource/library/IT-AP0115,IT-AP0115,Museo - Biblioteca Francesco Antonio Marcucci,https://biblioteche-fantasma.invalid/resource/library/IT-AP0083,IT-AP0083,Biblioteca Francesco Antonio Marcucci,false
