entityType,localEntity,identifier,externalResource,predicate
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0001,IT-AG0001,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0001&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0005,IT-AG0005,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0005&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0006,IT-AG0006,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0006&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0007,IT-AG0007,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0007&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0008,IT-AG0008,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0008&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0009,IT-AG0009,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0009&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0010,IT-AG0010,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0010&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0011,IT-AG0011,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0011&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0012,IT-AG0012,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0012&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0014,IT-AG0014,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0014&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0016,IT-AG0016,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0016&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0017,IT-AG0017,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0017&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0018,IT-AG0018,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0018&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0019,IT-AG0019,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0019&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0020,IT-AG0020,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0020&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0021,IT-AG0021,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0021&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0022,IT-AG0022,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0022&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0024,IT-AG0024,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0024&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0025,IT-AG0025,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0025&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0027,IT-AG0027,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0027&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0028,IT-AG0028,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0028&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0029,IT-AG0029,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0029&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
Library,https://biblioteche-fantasma.invalid/resource/library/IT-AG0030,IT-AG0030,https://anagrafe.iccu.sbn.it/it/ricerca/risultati.html?codice_isil=IT-AG0030&start=0,http://www.w3.org/2000/01/rdf-schema#seeAlso
