municipality,municipalityName,region,changePercent,libraries,problematicLibraries,problematicPercent
https://biblioteche-fantasma.invalid/resource/municipality/069078,Rosello,ABRUZZO,-25.333333333333336,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/070014,Castellino del Biferno,MOLISE,-23.369565217391305,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/078032,Castroregio,CALABRIA,-22.18045112781955,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/070044,Montelongo,MOLISE,-19.36416184971098,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/078147,Terravecchia,CALABRIA,-18.848920863309353,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/070045,Montemitro,MOLISE,-18.694362017804153,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/069053,Montelapiano,ABRUZZO,-18.29268292682927,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/094035,Pietrabbondante,MOLISE,-17.988668555240793,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/066043,Fontecchio,ABRUZZO,-17.888563049853374,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/078137,Scala Coeli,CALABRIA,-17.82608695652174,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/070077,Tavenna,MOLISE,-17.673048600883654,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/102024,Nardodipace,CALABRIA,-17.216411906677394,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/078023,Campana,CALABRIA,-17.057057057057058,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/070013,Castelbottaccio,MOLISE,-16.78832116788321,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/066024,Carapelle Calvisio,ABRUZZO,-16.666666666666664,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/076019,Carbone,BASILICATA,-16.43835616438356,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/077005,Cirigliano,BASILICATA,-15.789473684210526,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/069089,Taranta Peligna,ABRUZZO,-15.625,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/078068,Longobucco,CALABRIA,-15.1618398637138,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/044006,Arquata del Tronto,MARCHE,-15.123739688359302,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/083002,Alì,SICILIA,-15.05524861878453,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/070035,Macchia Valfortore,MOLISE,-14.925373134328357,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/009021,Castelvecchio di Rocca Barbena,LIGURIA,-14.864864864864865,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/004200,Sale San Giovanni,PIEMONTE,-14.792899408284024,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/070058,Ripabottoni,MOLISE,-14.489795918367346,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/077026,San Mauro Forte,BASILICATA,-14.326241134751774,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/070039,Molise,MOLISE,-14.201183431952662,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/006048,Castelletto d'Erro,PIEMONTE,-14.18918918918919,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/046031,Vagli Sotto,TOSCANA,-14.050493962678376,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/070019,Civitacampomarano,MOLISE,-13.872832369942195,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/094004,Belmonte del Sannio,MOLISE,-13.719943422913719,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/005044,Corsione,PIEMONTE,-13.513513513513514,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/094011,Castelpizzuto,MOLISE,-13.461538461538462,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/094046,Sant'Angelo del Pesco,MOLISE,-13.40782122905028,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/082069,Sclafani Bagni,SICILIA,-13.333333333333334,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/094039,Rionero Sannitico,MOLISE,-13.107241063244729,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/011014,Framura,LIGURIA,-13.050314465408805,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/079157,Zagarise,CALABRIA,-13.049013367281987,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/085008,Marianopoli,SICILIA,-12.903225806451612,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/011030,Vernazza,LIGURIA,-12.875,2,2,100
https://biblioteche-fantasma.invalid/resource/municipality/080035,Galatro,CALABRIA,-12.81733746130031,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/070047,Montorio nei Frentani,MOLISE,-12.594458438287154,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/011024,Riomaggiore,LIGURIA,-12.567934782608695,2,2,100
https://biblioteche-fantasma.invalid/resource/municipality/078085,Mottafollone,CALABRIA,-12.54180602006689,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/069023,Civitaluparella,ABRUZZO,-12.539184952978054,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/094051,Vastogirardi,MOLISE,-12.481426448736999,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/094048,Scapoli,MOLISE,-12.195121951219512,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/096074,Valle San Nicolao,PIEMONTE,-12.118018967334036,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/069102,Villa Santa Maria,ABRUZZO,-12.08,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/069063,Pennadomo,ABRUZZO,-12.068965517241379,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/043057,Visso,MARCHE,-12.060778727445394,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/082012,Bompietro,SICILIA,-12.009237875288683,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/062019,Castelvenere,CAMPANIA,-11.992551210428305,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/077009,Garaguso,BASILICATA,-11.988304093567251,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/009014,Bormida,LIGURIA,-11.977715877437326,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/070082,Tufara,MOLISE,-11.976744186046512,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/069075,Roccascalegna,ABRUZZO,-11.921097770154374,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/041016,Fratte Rosa,MARCHE,-11.902231668437832,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/102023,Monterosso Calabro,CALABRIA,-11.653447223917022,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/030094,Rigolato,FRIULI-VENEZIA GIULIA,-11.352657004830919,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/070025,Gambatesa,MOLISE,-11.269614835948644,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/070064,San Felice del Molise,MOLISE,-11.185308848080133,2,2,100
https://biblioteche-fantasma.invalid/resource/municipality/076061,Pietrapertosa,BASILICATA,-11.122661122661123,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/008041,Pietrabruna,LIGURIA,-11.11111111111111,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/070030,Jelsi,MOLISE,-10.983981693363845,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/071037,Panni,PUGLIA,-10.875331564986737,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/070024,Fossalto,MOLISE,-10.873015873015873,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/076075,San Costantino Albanese,BASILICATA,-10.708898944193061,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/077025,San Giorgio Lucano,BASILICATA,-10.676156583629894,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/080062,Portigliola,CALABRIA,-10.627177700348431,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/090042,Mores,SARDEGNA,-10.564853556485355,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/094014,Cerro al Volturno,MOLISE,-10.543390105433902,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/069070,Quadri,ABRUZZO,-10.498687664041995,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/064040,Guardia Lombardi,CAMPANIA,-10.461538461538462,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/066074,Prata d'Ansidonia,ABRUZZO,-10.460251046025103,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/004218,Serralunga d'Alba,PIEMONTE,-10.45045045045045,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/084035,San Biagio Platani,SICILIA,-10.444874274661508,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/094029,Montenero Val Cocchiara,MOLISE,-10.371819960861057,2,2,100
https://biblioteche-fantasma.invalid/resource/municipality/071003,Anzano di Puglia,PUGLIA,-10.117056856187292,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/085014,Resuttano,SICILIA,-10.052631578947368,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/052027,San Casciano dei Bagni,TOSCANA,-10.00633312222926,1,1,100
https://biblioteche-fantasma.invalid/resource/municipality/017098,Magasa,LOMBARDIA,-16.39344262295082,2,1,50
https://biblioteche-fantasma.invalid/resource/municipality/094037,Poggio Sannita,MOLISE,-15.335463258785943,2,1,50
https://biblioteche-fantasma.invalid/resource/municipality/078001,Acquaformosa,CALABRIA,-15.187557182067705,2,1,50
https://biblioteche-fantasma.invalid/resource/municipality/064004,Aquilonia,CAMPANIA,-14.77621091354997,2,1,50
https://biblioteche-fantasma.invalid/resource/municipality/064072,Pietradefusi,CAMPANIA,-14.323962516733602,2,1,50
https://biblioteche-fantasma.invalid/resource/municipality/062078,Sant'Arcangelo Trimonte,CAMPANIA,-13.084112149532709,2,1,50
https://biblioteche-fantasma.invalid/resource/municipality/043058,Valfornace,MARCHE,-12.449799196787147,2,1,50
https://biblioteche-fantasma.invalid/resource/municipality/095012,Baressa,SARDEGNA,-12.438625204582651,2,1,50
https://biblioteche-fantasma.invalid/resource/municipality/085017,Santa Caterina Villarmosa,SICILIA,-10.997240835632637,2,1,50
https://biblioteche-fantasma.invalid/resource/municipality/094022,Frosolone,MOLISE,-10.673608851285389,2,1,50
https://biblioteche-fantasma.invalid/resource/municipality/086010,Gagliano Castelferrato,SICILIA,-10.287831290966087,2,1,50
https://biblioteche-fantasma.invalid/resource/municipality/076033,Forenza,BASILICATA,-10.087045570916539,2,1,50
https://biblioteche-fantasma.invalid/resource/municipality/005068,Monastero Bormida,PIEMONTE,-10,2,1,50
https://biblioteche-fantasma.invalid/resource/municipality/087027,Mineo,SICILIA,-17.81974569932685,3,1,33.333333333333333333
https://biblioteche-fantasma.invalid/resource/municipality/066031,Castelvecchio Subequo,ABRUZZO,-10.694597574421168,3,1,33.333333333333333333
https://biblioteche-fantasma.invalid/resource/municipality/091057,Olzai,SARDEGNA,-10.650887573964498,3,1,33.333333333333333333
https://biblioteche-fantasma.invalid/resource/municipality/043007,Camerino,MARCHE,-12.731515239900832,31,3,9.677419354838709677
