region,libraries,problematicLibraries,problematicPercent
MOLISE,186,80,43.01075268817204301
LIGURIA,679,209,30.780559646539027982
ABRUZZO,441,93,21.088435374149659863
UMBRIA,428,73,17.056074766355140186
EMILIA-ROMAGNA,1524,221,14.501312335958005249
CALABRIA,638,92,14.42006269592476489
CAMPANIA,1476,209,14.159891598915989159
TOSCANA,1357,184,13.559322033898305084
BASILICATA,211,27,12.796208530805687203
LOMBARDIA,2950,366,12.406779661016949152
SICILIA,1318,153,11.60849772382397572
PIEMONTE,1604,182,11.346633416458852867
MARCHE,773,81,10.478654592496765847
LAZIO,1804,182,10.088691796008869179
FRIULI-VENEZIA GIULIA,576,58,10.069444444444444444
VALLE D'AOSTA/VALLÉE D'AOSTE,80,8,10
SARDEGNA,826,69,8.353510895883777239
VENETO,1358,112,8.247422680412371134
PUGLIA,857,67,7.817969661610268378
TRENTINO-ALTO ADIGE/SÜDTIROL,525,31,5.904761904761904761
