region,library,isil,libraryName,municipalityName
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-RM1294,IT-RM1294,"Biblioteca del Museo civico ""Mario Antonacci""",Albano Laziale
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-RM0004,IT-RM0004,Biblioteca comunale,Anticoli Corrado
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-FR0121,IT-FR0121,Biblioteca comunale,Arce
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-RM2110,IT-RM2110,Biblioteca della bicicletta Lucos Cozza,Bracciano
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-LT0006,IT-LT0006,Biblioteca comunale,Campodimele
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-VT0014,IT-VT0014,"Biblioteca comunale ""Alfredo Signoretti""",Capranica
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-FR0016,IT-FR0016,Biblioteca comunale,Casalvieri
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-RI0028,IT-RI0028,Biblioteca comunale Cherubini,Castelnuovo di Farfa
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-VT0020,IT-VT0020,Biblioteca comunale,Celleno
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-RM1476,IT-RM1476,Biblioteca - Archivio della Fondazione Adkins Chiti: Donne in musica,Fiuggi
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-FR0130,IT-FR0130,"BIBLIOTECA ANTONIO VALENTE DELL'ORDINE DEGLI ARCHITETTI, PIANIFICATORI, PAESAGGISTI E CONSERVATORI D",Frosinone
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-RM1506,IT-RM1506,"Biblioteca comunale ""Albio Tibullo""",Gallicano nel Lazio
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-RM1385,IT-RM1385,Biblioteca dell'Associazione Proloco di Marino,Marino
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-RI0113,IT-RI0113,Biblioteca comunale,Poggio Nativo
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-FR0147,IT-FR0147,Biblioteca comunale,Posta Fibreno
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-RM1419,IT-RM1419,Archivio centrale del libro,Roma
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-RM1627,IT-RM1627,Biblioteca Coop Laurentina,Roma
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-RM1312,IT-RM1312,Biblioteca degli Archivi delle arti applicate italiane del XX secolo,Roma
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-RM0578,IT-RM0578,Biblioteca del Collegio rabbinico italiano,Roma
LAZIO,https://biblioteche-fantasma.invalid/resource/library/IT-RM1620,IT-RM1620,Biblioteca del Dipartimento di Ingegneria chimica materiali e ambiente - Sapienza Università di Roma,Roma
