library,isil,libraryName,materialLabel,quantity
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PD0071,IT-PD0071,Accademia Galileiana di Scienze Lettere ed Arti In Padova - Biblioteca,manoscritti,972
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VI0122,IT-VI0122,Accademia Olimpica - Biblioteca,manoscritti,8
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-GE0291,IT-GE0291,Archivio Biblioteca Margherita Ferro - UDI,manoscritti,20
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BA0004,IT-BA0004,Archivio Biblioteca Museo Civico - A.B.M.C.,manoscritti,80
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-TO0462,IT-TO0462,Archivio Ebraico Terracini,manoscritti,146
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CA0499,IT-CA0499,Archivio Multimediale Dell'Immaginario,manoscritti,30
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MI1194,IT-MI1194,Archivio OUTIS - Centro Nazionale di Drammaturgia Contemporanea,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MI0285,IT-MI0285,Archivio Storico Ricordi,manoscritti,7800
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MI0150,IT-MI0150,Archivio capitolare e biblioteca della Basilica di S. Ambrogio,manoscritti,55
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-FE0012,IT-FE0012,Archivio di Stato di Ferrara - Biblioteca,manoscritti,2
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PR0040,IT-PR0040,Archivio di Stato di Parma - Biblioteca,manoscritti,76
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PC0027,IT-PC0027,Archivio di Stato di Piacenza - Biblioteca,manoscritti,56
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RA0032,IT-RA0032,Archivio di Stato di Ravenna - Biblioteca,manoscritti,6
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RA0050,IT-RA0050,Archivio di Stato di Ravenna. Sezione di Faenza - Biblioteca,manoscritti,9
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RE0048,IT-RE0048,Archivio di Stato di Reggio Emilia - Biblioteca,manoscritti,80
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-TN0154,IT-TN0154,Archivio diocesano tridentino,manoscritti,93
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-UD0015,IT-UD0015,Archivio e Biblioteca del Museo Archeologico Nazionale di Cividale del Friuli,manoscritti,5000
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BO0515,IT-BO0515,Archivio musicale della Basilica di S. Petronio,manoscritti,2500
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MI0327,IT-MI0327,Archivio storico civico e Biblioteca trivulziana,manoscritti,1464
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PR0039,IT-PR0039,Archivio storico comunale - Biblioteca,manoscritti,789
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BO0644,IT-BO0644,Archivio storico della Provincia di Cristo Re dei Frati Minori dell'Emilia Romagna,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MO0131,IT-MO0131,Archivio storico parrocchiale - Biblioteca,manoscritti,43
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BO0346,IT-BO0346,Archivio-Biblioteca dell'Accademia Filarmonica,manoscritti,20000
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CA0219,IT-CA0219,Arkiviu Bibrioteka Tommasu Serra,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PA0082,IT-PA0082,Assemblea regionale siciliana. Servizio documentazione e biblioteca,manoscritti,11
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CS0296,IT-CS0296,"Associazione ""Biblioteca Gullo""",manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MI0134,IT-MI0134,Associazione Culturale Biblioteca Famiglia Meneghina-Società del Giardino,manoscritti,500
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-FR0115,IT-FR0115,Associazione Culturale Colli-aps,manoscritti,20
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MI1216,IT-MI1216,BIBLIOTECA AGIS LOMBARDA ,manoscritti,1500
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-FI0134,IT-FI0134,BIBLIOTECA ARCHIVIO DELL'OPERA SANTA MARIA DEL FIORE,manoscritti,427
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CZ0015,IT-CZ0015,BIBLIOTECA CASSIODORO ISTITUTO TEOLOGICO CALABRO SAN PIO X,manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VI0010,IT-VI0010,BIBLIOTECA CIVICA DI BROGLIANO,manoscritti,2
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PD0004,IT-PD0004,BIBLIOTECA COMUNALE DI AGNA,manoscritti,10
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VI0026,IT-VI0026,BIBLIOTECA COMUNALE DI CRESPADORO,manoscritti,5200
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-SI0027,IT-SI0027,BIBLIOTECA COMUNALE DI MURLO,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VI0140,IT-VI0140,BIBLIOTECA COMUNALE DI POVE DEL GRAPPA,manoscritti,30
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VR0033,IT-VR0033,BIBLIOTECA COMUNALE DI RIVOLI VERONESE,manoscritti,10
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BS0296,IT-BS0296,BIBLIOTECA COMUNALE LA CASTAGNA AMARA,manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PV0033,IT-PV0033,BIBLIOTECA COMUNALE TRE FIUMI,manoscritti,5
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-SI0037,IT-SI0037,BIBLIOTECA COMUNALE UGO NOMI VENEROSI-PESCIOLINI,manoscritti,111
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0327,IT-NA0327,BIBLIOTECA COMUNE DI SCISCIANO,manoscritti,150
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VR0077,IT-VR0077,BIBLIOTECA DELLA SOCIETA' LETTERARIA DI VERONA,manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BG0373,IT-BG0373,BIBLIOTECA MEDICA ASST-BG OVEST,manoscritti,100
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PU0017,IT-PU0017,BIBLIOTECA PIAN DEL BRUSCOLO-VALLEFOGLIA,manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-FI0193,IT-FI0193,"BIBLIOTECA SCUOLA DI MUSICA DI FIESOLE, FONDAZIONE ONLUS",manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RM2041,IT-RM2041,BIFF - Biblio Farandola Fumetto,manoscritti,1300
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-TN0583,IT-TN0583,Biblioludoteca del Contà,manoscritti,3
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-OR0104,IT-OR0104,"Bibliomediateca ""Mille Ghilarze""",manoscritti,80
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-TS0108,IT-TS0108,"Bibliomediateca ""Vito Levi"" del Conservatorio di musica Giuseppe Tartini",manoscritti,32
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CE0074,IT-CE0074,Bibliomediateca comunale Antonio Sementini,manoscritti,30
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-FI0501,IT-FI0501,BiblioteCaNova Isolotto,manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RE0052,IT-RE0052,"Biblioteca ""Antonio Panizzi""",manoscritti,21427
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-FC0038,IT-FC0038,"Biblioteca ""Don Giovanni Verità"" del Comune di Modigliana e dell'Accademia degli Incamminati",manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MI1995,IT-MI1995,"Biblioteca ""Ettore Castiglioni""",manoscritti,15
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-TN0104,IT-TN0104,"Biblioteca ""G. e R. de Cobelli"" del Museo Civico di Rovereto",manoscritti,6850
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PE0018,IT-PE0018,"Biblioteca ""Gabriele D'Annunzio""",manoscritti,31
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-FC0155,IT-FC0155,"Biblioteca ""Gino Bianco""",manoscritti,206
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-TN0128,IT-TN0128,"Biblioteca ""Gino Tomasi"" del MUSE - Museo delle scienze",manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-LI0014,IT-LI0014,"Biblioteca ""Giorgio Garzelli"" della CCIAA della Maremma e del Tirreno",manoscritti,300
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BN0139,IT-BN0139,"Biblioteca ""Giovanni Falcone-Paolo Borsellino""",manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RM0375,IT-RM0375,"Biblioteca ""Giuliana Cavallini"" del Centro Internazionale di studi cateriniani",manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MC0212,IT-MC0212,"Biblioteca ""Giuseppe Zucconi""",manoscritti,450
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PR0078,IT-PR0078,"Biblioteca ""Giuseppina Allegri Tassoni"" della Deputazione di storia patria per le province parmensi",manoscritti,50
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-LE0333,IT-LE0333,"Biblioteca ""Le Fabbriche""",manoscritti,700
